,Gene,Gene_name,Vanc_l2fc,Vanc_q,Rif_l2fc,Rif_q,INH_l2fc,INH_q,Emb_l2fc,Emb_q
2,RVBD2909c,rpsP,2.73,1,1.91,1,-2.25,1,2.99,1
3,RVBD0708,rplP,2.68,1,-0.85,1,-2.78,0.964156,5.83,1
4,RVBD2690c,rv2690c,2.20,0.000079,1.10,0.262544,1.02,0.206251,1.29,0.03981
5,RVBD1415,ribA2,2.07,1,0.00,1,0.58,1,0.00,1
6,RVBD3490,otsA,1.95,0,1.08,0.260842,-2.27,0.00163,2.22,0.000538
7,RVBD1711,rv1711,1.94,1,2.68,1,0.00,1,3.58,0.880197
8,RVBD1457c,rv1457c,1.91,1,2.78,1,-3.86,1,1.56,1
9,RVBD1202,dapE,1.85,1,0.00,1,0.00,1,0.00,1
10,RVBD0357c,purA,1.77,1,0.00,1,0.26,1,-0.15,1
11,RVBD2908c,rv2908c,1.77,1,-0.03,1,1.89,1,2.45,1
12,RVBD2904c,rplS,1.73,1,0.25,1,-2.11,1,2.01,0.84756
13,RVBD1641,infC,1.56,1,-3.27,1,0.49,1,1.00,1
14,RVBD1136,rv1136,1.52,1,-3.07,1,0.43,1,-2.75,1
15,RVBD2785c,rpsO,1.51,0.56153,0.33,1,-0.46,1,3.10,0.179645
16,RVBD2907c,rimM,1.49,1,-1.09,1,-0.28,1,2.05,0.798474
17,RVBD2702,ppgK,1.45,0.211501,0.51,1,-1.61,0.080953,3.21,0
18,RVBD1126c,rv1126c,1.42,0.746794,-0.87,1,-0.26,1,0.06,1
19,RVBD2418c,rv2418c,1.40,0.459173,0.96,1,-0.36,1,1.03,1
20,RVBD1015c,rplY,1.39,1,0.28,1,-3.27,0.973266,1.91,1
21,RVBD3024c,trmU,1.38,1,-0.25,1,-2.61,1,2.56,1
22,RVBD2395B,aprB,1.37,1,1.82,1,0.61,1,0.91,1
23,RVBD2691,ceoB,1.36,0.020987,1.03,0.251434,0.85,0.231999,0.76,0.822911
24,RVBD2694c,rv2694c,1.33,0.660312,0.92,1,0.68,1,0.41,1
25,RVBD3696c,glpK,1.33,0.006054,-1.11,1,0.41,1,4.26,0
26,RVBD2334,cysK1,1.29,0.960906,0.68,1,1.58,0.855003,0.85,1
27,RVBD3588c,canB,1.29,1,-1.26,1,0.00,1,0.43,1
28,RVBD0470c,pcaA,1.26,0.329015,0.40,1,-0.25,1,1.92,0.053605
29,RVBD2304c,rv2304c,1.26,1,0.00,1,0.00,1,0.00,1
30,RVBD1127c,ppdK,1.20,1,-0.19,1,-0.23,1,0.14,1
31,RVBD3274c,fadE25,1.20,0.092708,1.25,0.430739,-1.45,0.309681,1.22,0.051488
32,RVBD0019c,fhaB,1.18,0.101256,0.75,0.978326,0.71,0.86167,-1.68,0.000911
33,RVBD1540,rv1540,1.12,1,-0.31,1,0.18,1,2.01,1
34,RVBD1044,rv1044,1.11,1,-0.25,1,0.49,1,-0.49,1
35,RVBD0371c,rv0371c,1.08,1,-2.14,1,0.90,1,-0.15,1
36,RVBD3025c,iscS,1.08,1,0.32,1,3.25,0.627396,-0.04,1
37,RVBD2048c,pks12,1.07,0.329015,0.01,1,0.23,1,0.13,1
