id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
RVBD2984:ppk1	225	7.2482e-138	0.45697	1.0	1	162	-1.033	1.0	0.84778	0.891703	4043	35	0.41047
RVBD1307:atpH	122	2.8368e-112	0.45697	1.0	2	109	-0.90071	1.0	0.84778	0.891703	4046	7	0.41694
RVBD1310:atpD	112	4.726e-108	0.45697	1.0	3	100	-0.91411	1.0	0.69587	0.737429	4039	8	0.38547
RVBD1308:atpA	110	3.6022e-92	0.45697	1.0	4	95	-0.94881	1.0	0.84778	0.891703	4042	10	0.32361
RVBD1304:atpB	76	1.5967e-86	0.35167	1.0	5	73	-1.0439	0.99991	0.27906	0.306096	4020	2	0.7278
RVBD1306:atpF	58	5.8062e-59	0.2079	1.0	6	55	-1.0113	1.0	0.91536	0.960386	4047	2	0.32582
RVBD1309:atpG	63	2.3362e-57	0.25002	1.0	7	56	-1.0132	0.094327	1.1723e-06	4e-06	1502	4	0.53464
RVBD0676c:mmpL5	33	2.6229e-55	0.038275	1.0	8	33	-1.9261	1.0	0.98499	1.0	4048	0	0
RVBD1697:RVBD1697	103	6.199e-43	0.45697	1.0	9	63	-0.55693	1.0	0.65218	0.692346	4038	22	0.38751
RVBD2682c:dxs1	112	1.0132e-36	0.45697	1.0	10	61	-0.73955	1.0	0.84778	0.891703	4041	26	0.36908
RVBD1477:ripA	137	1.3271e-34	0.45697	1.0	11	65	-0.52903	0.99003	0.0010726	0.001883	3960	51	0.33241
RVBD1311:atpC	44	4.1429e-27	0.094345	1.0	12	33	-0.75031	1.0	0.73317	0.775986	4036	7	0.44106
RVBD0677c:mmpS5	7	1.0924e-20	1.8756e-05	0.079208	13	7	-2.1301	1.0	0.99998	1.0	4045	0	0
RVBD3246c:mtrA	57	2.4343e-18	0.19913	1.0	14	30	-0.31818	0.99747	0.17919	0.202292	3989	16	0.37975
RVBD0455c:RVBD0455c	10	1.8186e-14	0.00023563	0.333333	15	10	-1.2402	1.0	0.99964	1.0	4044	0	0
RVBD0001:dnaA	46	1.275e-13	0.1165	1.0	16	22	-0.55983	1.0	0.71602	0.758218	4035	16	0.29269
RVBD3790:dprE1	125	1.7608e-13	0.45697	1.0	17	38	-0.42965	0.99971	0.17925	0.202292	4012	53	0.35701
RVBD2245:kasA	74	1.1736e-12	0.33424	1.0	18	28	-0.66022	0.80342	1.524e-05	4.4e-05	3648	36	0.48795
RVBD1303:RVBD1303	10	4.2754e-12	0.0002368	0.333333	19	9	-0.77155	1.0	0.99962	1.0	4040	0	0
RVBD1830:RVBD1830	43	8.481e-12	0.088339	1.0	20	20	-0.7926	1.0	0.63218	0.672085	4032	10	0.28444
RVBD2457c:clpX	115	3.5192e-11	0.45772	1.0	21	32	-0.42037	0.99289	0.0040643	0.005993	3968	57	0.48262
RVBD3587c:RVBD3587c	53	3.6904e-11	0.16545	1.0	22	21	-0.47384	0.99533	0.16327	0.184946	3977	19	0.37281
RVBD0511:hemD	139	6.3284e-11	0.45786	1.0	23	35	-0.46819	0.96336	5.0408e-05	0.000127	3909	69	0.35624
RVBD2992c:gltS	99	9.8057e-11	0.45427	1.0	24	17	-1.5508	0.32254	1.1723e-06	4e-06	2651	76	0.5887
RVBD2243:fabD	50	3.4313e-09	0.3479	1.0	25	19	-0.64816	0.66456	2.4618e-05	6.7e-05	3454	22	0.56423
RVBD0058:dnaB	126	3.5223e-09	0.93611	1.0	26	32	-0.39175	0.99743	0.01729	0.023394	3988	66	0.41716
RVBD0830:RVBD0830	10	6.69e-09	0.00097767	0.589816	27	8	-0.30732	0.99975	0.84372	0.888318	4013	2	0.27887
RVBD2652c:RVBD2652c	73	1.0968e-08	0.78201	1.0	28	19	-0.54171	0.99993	0.32588	0.354592	4023	43	0.35461
RVBD2153c:murG	160	3.0974e-08	0.96814	1.0	29	16	-2.0401	3.9579e-07	1.1723e-06	4e-06	70	136	0.68941
RVBD2703:sigA	36	3.3651e-08	0.22761	1.0	30	15	-0.56176	0.39346	5.8613e-06	1.9e-05	2878	15	0.318
RVBD1305:atpE	7	1.0851e-07	0.0012332	0.65099	31	6	-0.88133	1.0	0.98807	1.0	4033	0	0
RVBD0649:fabD2	8	1.4788e-07	0.0032308	1.0	32	4	-1.3338	0.94162	0.31129	0.339424	3866	4	0.42614
RVBD0929:pstC2	10	1.5438e-07	0.0061943	1.0	33	7	-0.33676	1.0	0.98909	1.0	4037	0	0
RVBD2247:accD6	94	3.0081e-07	0.97966	1.0	34	23	-0.57502	0.87586	3.5168e-06	1.2e-05	3757	53	0.42188
RVBD2988c:leuC	60	3.4299e-07	0.77833	1.0	35	9	-0.79952	0.36041	1.1723e-06	4e-06	2776	46	0.47276
RVBD1788:PE18	5	5.479e-07	0.00084286	0.589816	36	5	-1.4301	1.0	0.9991	1.0	4034	0	0
RVBD2452c:RVBD2452c	6	6.2926e-07	0.0023117	1.0	37	4	-0.53614	0.9985	0.81123	0.85539	3997	1	0.19828
RVBD1557:mmpL6	15	7.2121e-07	0.047792	1.0	38	8	-0.54165	0.99386	0.43118	0.463802	3970	6	0.34356
RVBD2138:lppL	85	2.5559e-06	0.981	1.0	39	18	-0.70284	0.091392	1.1723e-06	4e-06	1478	57	0.52438
