id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
RVBD3794:embA	244	2.1443e-106	1.1883e-06	1.2e-05	1	213	-3.0489	0.99987	1.0	1.0	3797	7	0.19955
RVBD3805c:aftB	193	9.8501e-104	1.1883e-06	1.2e-05	2	183	-2.2778	0.95808	0.99165	1.0	3391	5	0.55488
RVBD3645:RVBD3645	147	3.1418e-96	1.1883e-06	1.2e-05	3	141	-3.4283	1.0	1.0	1.0	3871	2	0.25802
RVBD1459c:RVBD1459c	165	1.8026e-78	1.1883e-06	1.2e-05	4	157	-1.2675	1.0	1.0	1.0	3943	2	0.25323
RVBD3795:embB	250	2.7967e-70	1.1883e-06	1.2e-05	5	203	-2.3484	1.0	1.0	1.0	3885	11	0.18492
RVBD2174:mptA	147	1.3146e-65	1.1883e-06	1.2e-05	6	133	-2.4442	1.0	1.0	1.0	3905	4	0.22115
RVBD2524c:fas	339	4.7534e-63	1.1883e-06	1.2e-05	7	269	-0.88136	0.92293	0.97986	1.0	3249	17	0.23842
RVBD3245c:mtrB	137	3.0785e-61	1.1883e-06	1.2e-05	8	108	-3.5749	0.86501	0.95688	1.0	3084	8	0.27083
RVBD1477:ripA	101	1.8177e-60	1.1883e-06	1.2e-05	9	94	-2.7406	1.0	1.0	1.0	3953	1	0.16187
RVBD3793:embC	242	7.062e-59	1.1883e-06	1.2e-05	10	206	-1.3625	0.99971	0.99999	1.0	3777	9	0.23601
RVBD2444c:rne	162	2.6106e-58	1.1883e-06	1.2e-05	11	155	-0.8012	0.99887	0.99994	1.0	3716	3	0.20015
RVBD1697:RVBD1697	70	1.3304e-53	1.1883e-06	1.2e-05	12	64	-4.0532	1.0	1.0	1.0	3935	1	0.17304
RVBD0015c:pknA	55	2.8384e-52	1.1883e-06	1.2e-05	13	54	-3.7883	1.0	1.0	1.0	3965	0	0
RVBD3246c:mtrA	53	1.7797e-51	1.1883e-06	1.2e-05	14	53	-3.7587	1.0	1.0	1.0	3987	0	0
RVBD3035:RVBD3035	66	2.3682e-48	1.1883e-06	1.2e-05	15	65	-2.259	1.0	1.0	1.0	3975	0	0
RVBD2673:aftC	133	8.5111e-45	1.1883e-06	1.2e-05	16	115	-2.0888	0.92828	0.98188	1.0	3266	7	0.28177
RVBD0236c:aftD	331	1.5132e-44	1.1883e-06	1.2e-05	17	241	-1.1422	0.038299	0.053568	0.291266	750	32	0.21123
RVBD1166:lpqW	92	4.5518e-43	1.1883e-06	1.2e-05	18	86	-1.6203	1.0	1.0	1.0	3990	0	0
RVBD0384c:clpB	150	1.9482e-40	1.1883e-06	1.2e-05	19	136	-1.067	0.99454	0.9995	1.0	3631	5	0.23845
RVBD0206c:mmpL3	93	1.0405e-39	1.1883e-06	1.2e-05	20	85	-1.6195	0.99982	0.99999	1.0	3790	1	0.38669
RVBD2925c:rnc	58	1.1303e-38	1.1883e-06	1.2e-05	21	55	-3.8084	1.0	1.0	1.0	3968	0	0
RVBD2163c:pbpB	111	4.9847e-34	1.1883e-06	1.2e-05	22	86	-1.8399	0.99707	0.9998	1.0	3669	10	0.23024
RVBD2051c:ppm1	216	2.3698e-33	1.1883e-06	1.2e-05	23	167	-0.74608	0.43891	0.59109	1.0	2169	16	0.24063
RVBD3635:RVBD3635	208	3.4571e-33	1.1883e-06	1.2e-05	24	161	-1.0182	0.99999	1.0	1.0	3857	14	0.20751
RVBD0014c:pknB	88	1.3331e-31	1.1883e-06	1.2e-05	25	79	-1.366	0.99063	0.99901	1.0	3587	3	0.44879
RVBD0018c:pstP	114	5.649e-31	1.1883e-06	1.2e-05	26	98	-1.13	1.0	1.0	1.0	3903	4	0.19825
RVBD1822:pgsA2	83	1.4635e-30	1.1883e-06	1.2e-05	27	68	-1.3359	0.88428	0.96534	1.0	3140	5	0.3359
RVBD0020c:fhaA	57	5.4243e-28	1.1883e-06	1.2e-05	28	55	-1.4898	1.0	1.0	1.0	3963	0	0
RVBD0058:dnaB	103	5.4906e-28	1.1883e-06	1.2e-05	29	83	-1.2952	0.98854	0.99869	1.0	3572	3	0.53424
RVBD3779:RVBD3779	31	6.648e-28	1.1883e-06	1.2e-05	30	31	-1.415	1.0	1.0	1.0	3988	0	0
RVBD1254:RVBD1254	149	9.1793e-25	1.1883e-06	1.2e-05	31	117	-0.72956	0.99995	1.0	1.0	3817	5	0.22898
RVBD1539:lspA	61	9.7719e-25	1.1883e-06	1.2e-05	32	54	-1.4502	0.99936	0.99995	1.0	3744	1	0.22768
RVBD3410c:guaB3	78	3.1653e-23	1.1883e-06	1.2e-05	33	69	-1.4853	1.0	1.0	1.0	3884	1	0.17553
RVBD0667:rpoB	122	1.7342e-22	1.1883e-06	1.2e-05	34	99	-0.81608	0.9997	0.99999	1.0	3776	9	0.27928
RVBD0357c:purA	89	1.7808e-22	1.1883e-06	1.2e-05	35	75	-1.1036	0.9999	0.99999	1.0	3801	4	0.23871
RVBD1747:RVBD1747	23	4.5571e-22	1.1883e-06	1.2e-05	36	23	-2.099	1.0	1.0	1.0	3986	0	0
RVBD3682:ponA2	15	5.3928e-22	1.1883e-06	1.2e-05	37	15	-3.0514	1.0	1.0	1.0	3979	0	0
RVBD3778c:RVBD3778c	40	9.3661e-22	1.1883e-06	1.2e-05	38	40	-1.7904	1.0	1.0	1.0	3989	0	0
RVBD3043c:ctaD	80	3.2445e-21	1.1883e-06	1.2e-05	39	71	-1.1399	1.0	1.0	1.0	3970	0	0
RVBD2587c:secD	132	3.288e-21	1.1883e-06	1.2e-05	40	101	-1.1074	0.98086	0.99745	1.0	3515	12	0.28146
