id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
RVBD3645:RVBD3645	147	1.8225e-79	1.1883e-06	1.6e-05	1	130	-1.7073	0.99278	0.99888	1.0	3677	4	0.35353
RVBD3579c:RVBD3579c	82	7.9116e-60	1.1883e-06	1.6e-05	2	79	-1.7264	1.0	1.0	1.0	3965	1	0.13273
RVBD3846:sodA	57	1.6386e-54	1.1883e-06	1.6e-05	3	54	-2.253	1.0	1.0	1.0	3933	1	0.14105
RVBD3805c:aftB	193	2.3983e-48	1.1883e-06	1.6e-05	4	144	-0.81003	0.99282	0.99888	1.0	3679	15	0.36555
RVBD3246c:mtrA	53	7.8863e-47	1.1883e-06	1.6e-05	5	49	-2.5498	1.0	1.0	1.0	3968	0	0
RVBD3245c:mtrB	137	4.4732e-46	1.1883e-06	1.6e-05	6	100	-1.4055	0.9364	0.98113	1.0	3255	10	0.28457
RVBD0676c:mmpL5	31	3.1616e-45	1.1883e-06	1.6e-05	7	31	-2.2328	1.0	1.0	1.0	3991	0	0
RVBD1697:RVBD1697	70	1.5443e-38	1.1883e-06	1.6e-05	8	51	-1.9861	0.99952	0.99993	1.0	3829	7	0.19483
RVBD2048c:pks12	50	1.3171e-37	1.1883e-06	1.6e-05	9	50	-0.99803	1.0	1.0	1.0	3988	0	0
RVBD1273c:RVBD1273c	25	7.2917e-37	1.1883e-06	1.6e-05	10	25	-1.6721	1.0	1.0	1.0	3989	0	0
RVBD1837c:glcB	205	1.4189e-32	1.1883e-06	1.6e-05	11	150	-0.40692	0.9985	0.99978	1.0	3786	9	0.26592
RVBD1611:trpC	46	2.7194e-32	1.1883e-06	1.6e-05	12	44	-1.4322	1.0	1.0	1.0	3949	0	0
RVBD2163c:pbpB	111	2.3038e-31	1.1883e-06	1.6e-05	13	85	-0.90204	1.0	1.0	1.0	3917	6	0.20007
RVBD3273:RVBD3273	22	2.1168e-28	1.1883e-06	1.6e-05	14	22	-1.1733	1.0	1.0	1.0	3990	0	0
RVBD1392:metK	60	1.0668e-26	1.1883e-06	1.6e-05	15	53	-1.077	0.8354	0.92988	1.0	2800	2	0.77984
RVBD1384:carB	147	1.1438e-26	1.1883e-06	1.6e-05	16	90	-0.76671	0.81422	0.90581	1.0	2734	20	0.26525
RVBD3794:embA	244	4.7497e-26	1.1883e-06	1.6e-05	17	159	-0.59227	0.99957	0.99996	1.0	3831	15	0.24206
RVBD0684:fusA1	55	9.6653e-26	1.1883e-06	1.6e-05	18	49	-1.0034	1.0	1.0	1.0	3944	0	0
RVBD3823c:mmpL8	32	2.1102e-25	1.1883e-06	1.6e-05	19	29	-1.1612	1.0	1.0	1.0	3938	0	0
RVBD1383:carA	56	2.4605e-25	1.1883e-06	1.6e-05	20	44	-0.95332	0.99298	0.99798	1.0	3685	5	0.23862
RVBD2839c:infB	118	7.6995e-25	1.1883e-06	1.6e-05	21	84	-0.70001	0.61274	0.73114	1.0	2125	9	0.37037
RVBD0410c:pknG	19	3.3882e-24	1.1883e-06	1.6e-05	22	19	-2.752	1.0	1.0	1.0	3987	0	0
