id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
RVBD0667:rpoB	187	5.4084e-119	1.1737e-06	3.5e-05	1	167	-1.2227	0.99286	0.99951	1.0	3895	7	0.18952
RVBD0206c:mmpL3	229	2.8984e-116	1.1737e-06	3.5e-05	2	201	-1.1482	1.0	1.0	1.0	4028	9	0.17575
RVBD3794:embA	376	7.0463e-114	1.1737e-06	3.5e-05	3	295	-0.54217	0.65495	0.86233	1.0	2855	19	0.17423
RVBD1477:ripA	134	1.2098e-109	1.1737e-06	3.5e-05	4	118	-1.7168	0.81611	0.94866	1.0	3254	5	0.23523
RVBD1697:RVBD1697	101	3.147e-106	1.1737e-06	3.5e-05	5	93	-2.0898	1.0	1.0	1.0	4037	1	0.1603
RVBD3795:embB	367	6.2527e-80	1.1737e-06	3.5e-05	6	261	-0.58736	0.79949	0.93857	1.0	3221	29	0.19895
RVBD3246c:mtrA	57	3.5508e-71	1.1737e-06	3.5e-05	7	50	-1.8416	0.96858	0.99467	1.0	3792	5	0.23242
RVBD0668:rpoC	162	3.7525e-69	1.1737e-06	3.5e-05	8	131	-0.97073	0.69018	0.88567	1.0	2943	7	0.21825
RVBD2984:ppk1	225	1.0791e-64	1.1737e-06	3.5e-05	9	167	-0.79101	0.99767	0.99988	1.0	3940	17	0.21043
RVBD2457c:clpX	111	6.2192e-60	1.1737e-06	3.5e-05	10	83	-1.448	1.0	1.0	1.0	4025	4	0.21702
RVBD3805c:aftB	263	1.4831e-52	1.1737e-06	3.5e-05	11	192	-0.44547	0.86202	0.96692	1.0	3405	10	0.27489
RVBD2524c:fas	560	4.5197e-47	1.1737e-06	3.5e-05	12	326	-0.69548	0.44525	0.65544	1.0	2328	64	0.21303
RVBD0015c:pknA	89	4.0149e-46	1.1737e-06	3.5e-05	13	77	-0.95703	0.87358	0.97242	1.0	3450	2	0.23539
RVBD0383c:RVBD0383c	57	3.073e-39	1.1737e-06	3.5e-05	14	52	-1.0637	0.99937	0.99993	1.0	3972	1	0.24857
RVBD3645:RVBD3645	172	3.5612e-37	1.1737e-06	3.5e-05	15	120	-0.51749	0.4131	0.62347	1.0	2225	13	0.28785
RVBD1326c:glgB	194	2.1598e-36	1.1737e-06	3.5e-05	16	139	-0.60065	0.55586	0.77535	1.0	2638	13	0.20311
RVBD1166:lpqW	158	1.522e-34	1.1737e-06	3.5e-05	17	117	-0.52632	0.99853	0.99992	1.0	3957	10	0.21163
RVBD3043c:ctaD	236	1.2899e-33	1.1737e-06	3.5e-05	18	162	-0.44573	1.0	1.0	1.0	4043	1	0.11671
RVBD2673:aftC	218	3.2899e-33	1.1737e-06	3.5e-05	19	146	-0.41756	0.98375	0.99856	1.0	3852	13	0.21303
RVBD0227c:RVBD0227c	84	3.1955e-32	1.1737e-06	3.5e-05	20	69	-0.91422	0.4423	0.66969	1.0	2318	3	0.33695
