gene	data size	good data	mbio Call	ctrl mean	exp mean	log2FC	logFC_5_neg	logFC_10_neg	logFC_5_pos	logFC_10_pos	logFC_5_str	logFC_10_str	obs-value	norm-obs	p-value	adj. pval
16S:16S	109	107	N/A	133.52	104.11	-0.359	-1.766	-1.235	0.071	0.620	-0.391	-0.277	-8.16	-0.04636587	0.2461000000	1.0000000000
23S:23S	221	207	N/A	133.80	113.06	-0.243	-1.910	-1.508	0.556	0.534	-1.072	-0.638	-9.80	-0.05812914	0.0415500000	0.8613477941
4.5S:4.5S	9	9	N/A	84.72	64.60	-0.391	-0.703	-0.391	0.129	-0.391	-0.335	-0.391	-11.89	-0.13713241	0.4430500000	1.0000000000
5S:5S	22	22	N/A	190.35	184.00	-0.049	-0.317	-0.333	0.457	0.333	-0.025	-0.071	4.67	0.01962695	1.0000000000	1.0000000000
Empty	1	1	N/A	1993894.94	2052944.46	0.042	0.042	0.042	0.042	0.042	0.042	0.042	53523.01	0.79582133	0.2011500000	1.0000000000
Negative1	10	10	N/A	1461.99	1540.91	0.076	0.048	0.076	0.158	0.076	0.081	0.076	90.84	0.05578384	0.4922500000	1.0000000000
Negative10	10	9	N/A	1100.80	1098.26	-0.003	0.007	-0.003	-0.003	-0.003	0.027	-0.003	50.45	0.06368592	0.6437000000	1.0000000000
Negative100	10	9	N/A	1751.55	1674.30	-0.065	-0.194	-0.065	0.173	-0.065	-0.270	-0.065	3.11	0.00124830	0.9899500000	1.0000000000
Negative101	10	9	N/A	1448.48	1486.50	0.037	-0.140	0.037	0.069	0.037	0.069	0.037	-61.93	-0.04586056	0.8083000000	1.0000000000
Negative102	10	10	N/A	1550.85	1678.73	0.114	0.070	0.114	0.128	0.114	0.133	0.114	63.85	0.06073629	0.8963000000	1.0000000000
Negative103	10	10	N/A	2343.24	2153.08	-0.122	-0.026	-0.122	0.059	-0.122	0.029	-0.122	74.33	0.03505405	0.9327500000	1.0000000000
Negative104	10	9	N/A	1688.44	1509.63	-0.161	-0.161	-0.161	-0.043	-0.161	-0.161	-0.161	14.20	0.01053023	0.8946000000	1.0000000000
Negative105	10	9	N/A	1379.80	1200.55	-0.201	-0.201	-0.201	-0.048	-0.201	-0.061	-0.201	18.38	0.02089366	0.9637500000	1.0000000000
Negative106	10	10	N/A	1528.96	1374.51	-0.154	-0.130	-0.154	0.028	-0.154	-0.136	-0.154	8.83	0.00514465	0.8751000000	1.0000000000
Negative107	10	10	N/A	1444.44	1320.33	-0.130	-0.202	-0.130	0.078	-0.130	-0.062	-0.130	-135.70	-0.11715461	0.4722500000	1.0000000000
Negative108	10	9	N/A	1119.04	1329.75	0.249	-0.249	0.249	0.203	0.249	0.203	0.249	-70.60	-0.05204623	0.8578500000	1.0000000000
Negative109	10	9	N/A	2469.20	2302.05	-0.101	-0.101	-0.101	0.044	-0.101	0.069	-0.101	-164.29	-0.07070735	0.5373500000	1.0000000000
Negative11	10	10	N/A	1016.45	894.55	-0.184	-0.170	-0.184	0.073	-0.184	-0.054	-0.184	49.25	0.05837622	0.6718000000	1.0000000000
Negative110	10	10	N/A	1717.13	1791.51	0.061	0.048	0.061	0.095	0.061	-0.254	0.061	-41.34	-0.03132468	0.3386500000	1.0000000000
Negative111	10	10	N/A	1283.79	1262.46	-0.024	-0.186	-0.024	-0.010	-0.024	-0.076	-0.024	-81.56	-0.06114242	0.8367500000	1.0000000000
Negative112	10	10	N/A	1080.24	1139.45	0.077	-0.055	0.077	0.039	0.077	0.049	0.077	101.60	0.08363096	0.7330000000	1.0000000000
Negative113	10	9	N/A	987.23	981.48	-0.008	-0.068	-0.008	0.075	-0.008	-0.113	-0.008	11.11	0.00621884	0.7026000000	1.0000000000
Negative114	10	10	N/A	1164.44	1232.85	0.082	-0.066	0.082	0.081	0.082	0.073	0.082	-22.06	-0.04113150	0.7664500000	1.0000000000
Negative115	10	10	N/A	1332.50	1498.10	0.169	-0.066	0.169	0.252	0.169	0.028	0.169	24.05	0.01401554	0.9343000000	1.0000000000
Negative116	10	10	N/A	2233.78	2479.11	0.150	-0.179	0.150	0.132	0.150	0.036	0.150	-78.82	-0.03902655	0.8121500000	1.0000000000
Negative117	10	10	N/A	1307.58	1395.91	0.094	-0.072	0.094	0.098	0.094	-0.015	0.094	-103.97	-0.11208833	0.6609000000	1.0000000000
Negative118	10	8	N/A	2590.83	2806.69	0.115	-0.141	0.115	0.141	0.115	-0.111	0.115	-161.52	-0.07598032	0.5722500000	1.0000000000
Negative119	10	10	N/A	1043.93	856.71	-0.285	-0.301	-0.285	-0.047	-0.285	0.006	-0.285	8.44	0.00655719	0.9710000000	1.0000000000
Negative12	10	10	N/A	941.05	1016.77	0.112	-0.084	0.112	0.116	0.112	0.116	0.112	2.20	0.00231506	0.9756500000	1.0000000000
Negative120	10	10	N/A	1304.16	1058.81	-0.301	-0.215	-0.301	-0.028	-0.301	0.013	-0.301	-38.90	-0.05515564	0.6103000000	1.0000000000
Negative121	10	10	N/A	1729.68	1702.45	-0.023	0.021	-0.023	0.028	-0.023	-0.186	-0.023	-119.30	-0.05400674	0.8193000000	1.0000000000
Negative122	10	10	N/A	868.59	836.77	-0.054	-0.074	-0.054	0.092	-0.054	-0.074	-0.054	51.92	0.05094221	0.8396500000	1.0000000000
Negative123	10	10	N/A	1376.78	1351.18	-0.027	-0.159	-0.027	0.147	-0.027	0.013	-0.027	56.38	0.06247374	0.6921000000	1.0000000000
Negative124	10	10	N/A	1196.61	1278.60	0.096	-0.120	0.096	0.036	0.096	0.025	0.096	-15.74	-0.01212305	0.9326500000	1.0000000000
Negative125	10	9	N/A	1128.85	1075.83	-0.069	-0.149	-0.069	-0.069	-0.069	-0.053	-0.069	-46.44	-0.01701169	0.9058000000	1.0000000000
Negative126	10	10	N/A	1486.83	1422.07	-0.064	-0.051	-0.064	0.004	-0.064	0.074	-0.064	87.97	0.07053722	0.8864000000	1.0000000000
Negative127	10	10	N/A	1528.23	1551.99	0.022	0.004	0.022	-0.016	0.022	-0.023	0.022	19.04	0.01184608	0.9353000000	1.0000000000
Negative128	10	9	N/A	1599.50	1544.34	-0.051	-0.085	-0.051	-0.036	-0.051	-0.211	-0.051	-16.24	-0.01543700	0.8905000000	1.0000000000
Negative129	10	10	N/A	1377.07	1375.58	-0.002	-0.050	-0.002	0.082	-0.002	-0.050	-0.002	46.81	0.04997839	0.6334500000	1.0000000000
Negative13	10	9	N/A	1556.93	1602.18	0.041	0.041	0.041	0.041	0.041	0.195	0.041	39.17	0.02575008	0.6428500000	1.0000000000
Negative130	10	10	N/A	1899.95	1868.26	-0.024	-0.225	-0.024	0.029	-0.024	0.029	-0.024	-54.85	-0.03391715	0.7676000000	1.0000000000
Negative131	10	10	N/A	1440.39	1439.62	-0.001	-0.156	-0.001	0.155	-0.001	0.056	-0.001	75.73	0.04313121	0.9039000000	1.0000000000
Negative132	10	10	N/A	1155.67	1084.55	-0.092	-0.043	-0.092	0.244	-0.092	0.207	-0.092	-24.47	-0.01910875	0.8665000000	1.0000000000
Negative133	10	10	N/A	1434.87	1411.71	-0.023	-0.005	-0.023	-0.037	-0.023	0.110	-0.023	-138.26	-0.11421968	0.8617500000	1.0000000000
Negative134	10	10	N/A	835.14	842.96	0.013	0.083	0.013	0.066	0.013	0.152	0.013	68.23	0.05862067	0.9700000000	1.0000000000
Negative135	10	10	N/A	1666.97	1571.91	-0.085	0.009	-0.085	0.039	-0.085	-0.005	-0.085	-77.32	-0.02976374	0.9010000000	1.0000000000
Negative136	10	9	N/A	1313.66	1302.83	-0.012	-0.048	-0.012	-0.140	-0.012	-0.108	-0.012	55.72	0.04335059	0.7756000000	1.0000000000
Negative137	10	9	N/A	2747.26	2599.44	-0.080	-0.065	-0.080	0.181	-0.080	-0.196	-0.080	106.41	0.04088516	0.8584000000	1.0000000000
Negative138	10	9	N/A	1234.56	1208.86	-0.030	-0.112	-0.030	0.184	-0.030	-0.058	-0.030	-24.16	-0.03249048	0.9017000000	1.0000000000
Negative139	10	10	N/A	1756.25	1577.35	-0.155	-0.174	-0.155	-0.142	-0.155	0.010	-0.155	67.93	0.04729178	0.6166500000	1.0000000000
Negative14	10	10	N/A	1316.36	1230.34	-0.097	-0.254	-0.097	0.029	-0.097	-0.254	-0.097	-12.19	-0.01252892	0.8653000000	1.0000000000
Negative140	10	9	N/A	2408.60	2522.11	0.066	-0.137	0.066	0.066	0.066	0.054	0.066	-34.44	-0.01203970	0.8206500000	1.0000000000
Negative141	10	10	N/A	1200.01	1190.57	-0.011	0.015	-0.011	0.086	-0.011	-0.041	-0.011	-4.33	-0.00317074	0.9598000000	1.0000000000
Negative142	10	10	N/A	1565.82	1441.16	-0.120	-0.102	-0.120	-0.045	-0.120	-0.148	-0.120	113.62	0.11045047	0.9711500000	1.0000000000
