id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
RVBD2984:ppk1	225	9.0919e-103	1.1737e-06	1.3e-05	1	216	-1.6202	1.0	1.0	1.0	4024	2	0.32258
RVBD2524c:fas	560	9.9805e-83	1.1737e-06	1.3e-05	2	490	-0.76936	0.99613	1.0	1.0	3812	8	0.33517
RVBD0006:gyrA	175	2.8349e-65	1.1737e-06	1.3e-05	3	158	-1.3304	1.0	1.0	1.0	4036	2	0.24276
RVBD3043c:ctaD	236	2.7175e-63	1.1737e-06	1.3e-05	4	215	-1.2571	1.0	1.0	1.0	4032	5	0.17886
RVBD0667:rpoB	187	1.7602e-62	1.1737e-06	1.3e-05	5	173	-1.5297	1.0	1.0	1.0	3968	2	0.32576
RVBD0384c:clpB	163	5.5813e-62	1.1737e-06	1.3e-05	6	153	-1.0106	0.99497	1.0	1.0	3800	3	0.34642
RVBD2093c:tatC	124	1.7942e-60	1.1737e-06	1.3e-05	7	124	-1.3216	1.0	1.0	1.0	4039	0	0
RVBD0338c:RVBD0338c	343	2.248e-53	1.1737e-06	1.3e-05	8	285	-0.91454	0.90198	0.99981	1.0	3419	23	0.28818
RVBD3846:sodA	66	2.8353e-52	1.1737e-06	1.3e-05	9	66	-1.6183	1.0	1.0	1.0	4043	0	0
RVBD2987c:leuD	80	4.5387e-50	1.1737e-06	1.3e-05	10	78	-1.4519	1.0	1.0	1.0	3975	1	0.18654
RVBD2196:qcrB	198	9.4454e-49	1.1737e-06	1.3e-05	11	182	-1.2212	1.0	1.0	1.0	4028	3	0.2803
RVBD1484:inhA	71	7.2179e-47	1.1737e-06	1.3e-05	12	69	-2.5555	0.99999	1.0	1.0	3958	1	0.30575
RVBD1380:pyrB	112	8.4184e-43	1.1737e-06	1.3e-05	13	99	-1.5223	0.93662	0.99995	1.0	3518	3	0.30674
RVBD1384:carB	199	6.1399e-41	1.1737e-06	1.3e-05	14	157	-1.2237	0.65351	0.99375	1.0	2845	17	0.30515
RVBD0668:rpoC	162	2.1889e-40	1.1737e-06	1.3e-05	15	145	-1.5572	0.98599	1.0	1.0	3730	8	0.27933
RVBD0982:mprB	140	9.7949e-40	1.1737e-06	1.3e-05	16	116	-0.96876	0.95991	0.99999	1.0	3602	11	0.27923
RVBD1307:atpH	114	1.4829e-39	1.1737e-06	1.3e-05	17	109	-1.0974	1.0	1.0	1.0	3993	1	0.18577
RVBD2883c:pyrH	78	8.5346e-39	1.1737e-06	1.3e-05	18	75	-1.2036	1.0	1.0	1.0	4038	0	0
RVBD1223:htrA	85	6.8416e-38	1.1737e-06	1.3e-05	19	82	-1.4468	1.0	1.0	1.0	4042	0	0
RVBD2457c:clpX	111	1.9944e-36	1.1737e-06	1.3e-05	20	102	-1.1472	1.0	1.0	1.0	3996	3	0.19972
RVBD1310:atpD	110	1.0522e-34	1.1737e-06	1.3e-05	21	100	-1.2261	1.0	1.0	1.0	4029	0	0
RVBD2194:qcrC	82	3.3765e-34	1.1737e-06	1.3e-05	22	80	-1.2075	1.0	1.0	1.0	4004	1	0.15497
RVBD1695:ppnK	63	1.0023e-33	1.1737e-06	1.3e-05	23	62	-1.1158	1.0	1.0	1.0	3990	0	0
RVBD1093:glyA1	118	1.7255e-33	1.1737e-06	1.3e-05	24	103	-0.99294	0.99567	1.0	1.0	3806	4	0.26157
RVBD0014c:pknB	148	1.3575e-32	1.1737e-06	1.3e-05	25	132	-0.91842	0.99966	1.0	1.0	3898	5	0.26463
RVBD3645:RVBD3645	172	2.9335e-31	1.1737e-06	1.3e-05	26	137	-0.85313	0.99716	1.0	1.0	3827	13	0.28612
RVBD1308:atpA	107	3.9192e-30	1.1737e-06	1.3e-05	27	97	-1.222	0.97935	1.0	1.0	3691	1	0.32604
RVBD1451:ctaB	111	5.2588e-29	1.1737e-06	1.3e-05	28	98	-1.1843	0.97945	1.0	1.0	3694	7	0.31246
RVBD1326c:glgB	194	8.2468e-29	1.1737e-06	1.3e-05	29	166	-0.94041	1.0	1.0	1.0	3979	8	0.20155
RVBD0005:gyrB	65	1.0862e-28	1.1737e-06	1.3e-05	30	55	-1.5241	0.99455	0.99999	1.0	3792	5	0.62517
RVBD1304:atpB	71	1.9037e-28	1.1737e-06	1.3e-05	31	69	-1.0633	0.99961	1.0	1.0	3895	2	0.17812
RVBD2195:qcrA	95	5.7146e-28	1.1737e-06	1.3e-05	32	86	-1.2143	1.0	1.0	1.0	4021	0	0
