id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
RVBD0002:dnaN	127	2.0786e-84	3.0515e-05	0.000775	1	118	-3.6919	1.0	1.0	1.0	3983	3	0.25744
RVBD3645:RVBD3645	172	4.0727e-82	3.0515e-05	0.000775	2	154	-1.6519	1.0	1.0	1.0	3964	5	0.26594
RVBD1547:dnaE1	197	3.2351e-77	3.0515e-05	0.000775	3	168	-2.0753	0.99992	1.0	1.0	3922	18	0.26523
RVBD3778c:RVBD3778c	116	5.1679e-66	3.0515e-05	0.000775	4	116	-1.5927	1.0	1.0	1.0	4042	0	0
RVBD1402:priA	188	9.1088e-64	3.0515e-05	0.000775	5	166	-1.1404	0.99895	0.99994	1.0	3788	7	0.25321
RVBD0058:dnaB	126	6.7362e-62	3.0515e-05	0.000775	6	113	-3.3281	0.99937	0.99999	1.0	3828	4	0.23895
RVBD0206c:mmpL3	229	2.2384e-55	3.0515e-05	0.000775	7	202	-1.2081	1.0	1.0	1.0	4024	9	0.23212
RVBD1708:RVBD1708	101	4.5201e-53	3.0515e-05	0.000775	8	93	-2.5325	1.0	1.0	1.0	3974	4	0.19921
RVBD3794:embA	376	5.5238e-51	3.0515e-05	0.000775	9	258	-1.2131	0.53092	0.74666	1.0	1285	58	0.2688
RVBD3795:embB	367	1.1672e-46	3.0515e-05	0.000775	10	252	-1.1049	0.9921	0.9992	1.0	3535	60	0.22377
RVBD1828:RVBD1828	89	5.8815e-44	1.0563e-05	0.000433	11	86	-1.8408	1.0	1.0	1.0	4031	0	0
RVBD2925c:rnc	68	2.9031e-42	1.1737e-05	0.000471	12	55	-3.0118	0.91612	0.97538	1.0	2559	6	0.22168
RVBD1697:RVBD1697	101	8.7768e-42	3.0515e-05	0.000775	13	90	-2.1832	1.0	1.0	1.0	3973	3	0.19063
RVBD3805c:aftB	263	3.9635e-37	3.0515e-05	0.000775	14	205	-1.0314	0.15745	0.34033	1.0	676	24	0.27286
RVBD2145c:wag31	82	4.7682e-34	1.0563e-05	0.000433	15	74	-1.5415	1.0	1.0	1.0	4037	0	0
RVBD2673:aftC	218	1.118e-32	3.0515e-05	0.000775	16	154	-1.1072	0.99992	1.0	1.0	3924	30	0.20707
RVBD1617:pykA	89	4.8622e-32	1.0563e-05	0.000433	17	82	-1.4556	1.0	1.0	1.0	4015	1	0.39312
RVBD3246c:mtrA	57	5.3464e-32	4.6946e-06	0.000251	18	46	-2.1324	0.91856	0.97674	1.0	2576	6	0.34332
RVBD2720:lexA	77	3.9396e-28	5.8683e-06	0.000306	19	69	-1.2568	1.0	1.0	1.0	3976	2	0.15529
RVBD3721c:dnaZX	132	2.863e-26	3.0515e-05	0.000775	20	102	-1.6932	0.97673	0.99635	1.0	3237	13	0.1913
RVBD3201c:RVBD3201c	18	9.1447e-26	1.1737e-06	7.7e-05	21	18	-4.32	1.0	1.0	1.0	4040	0	0
RVBD3273:RVBD3273	22	5.9691e-25	1.1737e-06	7.7e-05	22	22	-1.5677	1.0	1.0	1.0	4038	0	0
RVBD2201:asnB	184	1.0362e-24	3.0515e-05	0.000775	23	129	-1.1943	0.99829	0.99989	1.0	3751	25	0.21848
RVBD2220:glnA1	139	3.758e-24	3.0515e-05	0.000775	24	106	-1.1842	0.99985	1.0	1.0	3904	16	0.18345
RVBD2457c:clpX	111	5.0065e-24	3.0515e-05	0.000775	25	84	-2.0626	0.3386	0.5684	1.0	942	14	0.19874
RVBD2737c:recA	14	3.4103e-23	1.1737e-06	7.7e-05	26	14	-5.3051	1.0	1.0	1.0	4035	0	0
RVBD2156c:murX	122	3.9284e-23	3.0515e-05	0.000775	27	101	-1.0954	0.99998	1.0	1.0	3947	7	0.2319
RVBD2154c:ftsW	130	1.5154e-22	3.0515e-05	0.000775	28	111	-1.0102	0.99924	0.99997	1.0	3813	5	0.36186
RVBD3604c:RVBD3604c	82	4.2727e-22	1.0563e-05	0.000433	29	69	-1.1291	1.0	1.0	1.0	4000	2	0.26278
RVBD2592c:ruvB	52	4.9535e-22	2.3473e-06	0.000143	30	46	-3.1594	1.0	1.0	1.0	3965	1	0.23448
RVBD2095c:pafC	14	4.0879e-21	1.1737e-06	7.7e-05	31	14	-4.4262	1.0	1.0	1.0	4032	0	0
RVBD2163c:pbpB	142	4.2069e-21	3.0515e-05	0.000775	32	114	-0.94192	1.0	1.0	1.0	4010	9	0.15372
RVBD1837c:glcB	232	1.0932e-20	3.0515e-05	0.000775	33	152	-0.75971	0.9986	0.99992	1.0	3764	40	0.23736
RVBD3809c:glf	71	1.7413e-20	9.3893e-06	0.000426	34	67	-1.1243	1.0	1.0	1.0	3968	2	0.16401
RVBD0440:groEL2	71	9.5132e-20	9.3893e-06	0.000426	35	63	-1.5225	0.99985	0.99999	1.0	3899	4	0.25774
RVBD1326c:glgB	194	1.2001e-19	3.0515e-05	0.000775	36	144	-1.0391	0.99999	1.0	1.0	3956	19	0.23878
RVBD1166:lpqW	158	1.3958e-19	3.0515e-05	0.000775	37	119	-0.96872	1.0	1.0	1.0	3990	10	0.15722
RVBD1020:mfd	23	6.0705e-19	1.1737e-06	7.7e-05	38	23	-1.3098	1.0	1.0	1.0	4022	0	0
RVBD1098c:fum	127	8.6725e-19	3.0515e-05	0.000775	39	105	-0.45521	0.99999	1.0	1.0	3963	3	0.28057
RVBD3793:embC	413	9.3429e-19	3.0515e-05	0.000775	40	249	-0.87698	0.99883	0.99994	1.0	3779	68	0.20695
RVBD2984:ppk1	225	2.046e-18	3.0515e-05	0.000775	41	161	-0.85568	0.99994	1.0	1.0	3927	22	0.26189
RVBD3783:rfbD	115	3.8171e-18	3.0515e-05	0.000775	42	88	-1.1089	1.0	1.0	1.0	3981	11	0.24258
RVBD3245c:mtrB	142	5.5387e-18	3.0515e-05	0.000775	43	87	-0.90582	0.07685	0.20203	1.0	545	29	0.26944
RVBD2460c:clpP2	51	5.6458e-18	1.1737e-06	7.7e-05	44	48	-1.477	1.0	1.0	1.0	3967	2	0.22714
RVBD3202c:RVBD3202c	9	1.3263e-17	1.1737e-06	7.7e-05	45	9	-5.2266	1.0	1.0	1.0	4041	0	0
RVBD1477:ripA	134	1.4625e-17	3.0515e-05	0.000775	46	90	-1.6595	0.38121	0.61447	1.0	1004	29	0.32001
RVBD3198c:uvrD2	190	2.1376e-17	3.0515e-05	0.000775	47	117	-0.76197	0.9999	1.0	1.0	3918	21	0.24547
RVBD2690c:RVBD2690c	20	3.7075e-17	1.1737e-06	7.7e-05	48	20	-2.0164	1.0	1.0	1.0	4039	0	0
RVBD1423:whiA	66	4.9595e-17	2.3473e-06	0.000143	49	53	-1.572	0.99785	0.99986	1.0	3728	5	0.22652
RVBD3806c:ubiA	64	5.3329e-17	4.6946e-06	0.000251	50	52	-1.4499	0.97385	0.99528	1.0	3187	5	0.32988
RVBD3362c:RVBD3362c	8	5.3461e-17	1.1737e-06	7.7e-05	51	8	-6.3572	1.0	1.0	1.0	4043	0	0
RVBD1633:uvrB	18	7.3971e-17	1.1737e-06	7.7e-05	52	17	-1.5094	0.99941	0.99994	1.0	3836	0	0
RVBD1437:pgk	111	1.2932e-16	3.0515e-05	0.000775	53	90	-0.64618	0.99518	0.99957	1.0	3620	10	0.19673
RVBD2097c:pafA	10	1.4658e-16	1.1737e-06	7.7e-05	54	10	-4.7681	1.0	1.0	1.0	4036	0	0
