id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
RVBD3794:embA	373	1.9559e-212	1.1807e-06	1.2e-05	1	329	-2.3871	0.97286	0.99941	1.0	3585	11	0.22392
RVBD3795:embB	362	8.2497e-171	1.1807e-06	1.2e-05	2	296	-2.3765	1.0	1.0	1.0	3961	21	0.16996
RVBD3793:embC	406	6.4759e-139	1.1807e-06	1.2e-05	3	340	-1.6931	1.0	1.0	1.0	3977	12	0.20174
RVBD2673:aftC	218	2.7333e-126	1.1807e-06	1.2e-05	4	191	-2.0614	0.99997	1.0	1.0	3922	7	0.29037
RVBD3805c:aftB	256	5.4795e-125	1.1807e-06	1.2e-05	5	237	-1.6049	0.093664	0.37411	1.0	579	9	0.31727
RVBD1697:RVBD1697	98	2.4207e-82	1.1807e-06	1.2e-05	6	92	-3.4169	1.0	1.0	1.0	3944	1	0.23406
RVBD3778c:RVBD3778c	111	3.592e-81	1.1807e-06	1.2e-05	7	110	-1.8013	1.0	1.0	1.0	4015	0	0
RVBD1477:ripA	115	8.1276e-81	1.1807e-06	1.2e-05	8	109	-2.4029	1.0	1.0	1.0	3984	1	0.16489
RVBD2174:mptA	190	3.3922e-74	1.1807e-06	1.2e-05	9	152	-1.7636	0.99729	0.99999	1.0	3824	11	0.22632
RVBD2524c:fas	437	6.4721e-70	1.1807e-06	1.2e-05	10	324	-1.016	0.76521	0.97052	1.0	2532	37	0.18733
RVBD0667:rpoB	161	5.9802e-69	1.1807e-06	1.2e-05	11	150	-1.7019	0.99999	1.0	1.0	3936	2	0.37248
RVBD3246c:mtrA	57	4.6186e-68	1.1807e-06	1.2e-05	12	56	-4.0643	1.0	1.0	1.0	4011	0	0
RVBD3645:RVBD3645	164	7.7302e-67	1.1807e-06	1.2e-05	13	148	-1.2942	1.0	1.0	1.0	3985	2	0.28247
RVBD3245c:mtrB	142	2.2841e-59	1.1807e-06	1.2e-05	14	88	-2.7232	0.065789	0.30029	1.0	493	31	0.19286
RVBD2984:ppk1	215	6.4009e-58	1.1807e-06	1.2e-05	15	176	-1.0889	0.99994	1.0	1.0	3911	4	0.22966
RVBD0015c:pknA	75	5.1192e-52	1.1807e-06	1.2e-05	16	71	-2.3144	0.99987	1.0	1.0	3896	2	0.13404
RVBD0236c:aftD	450	1.3655e-51	1.1807e-06	1.2e-05	17	318	-0.95235	0.95932	0.99893	1.0	3495	34	0.2164
RVBD2093c:tatC	100	7.1354e-51	1.1807e-06	1.2e-05	18	99	-1.3461	1.0	1.0	1.0	4017	0	0
RVBD0668:rpoC	127	8.9653e-51	1.1807e-06	1.2e-05	19	110	-1.4256	0.87745	0.9923	1.0	2993	5	0.43279
RVBD1459c:RVBD1459c	203	4.6322e-50	1.1807e-06	1.2e-05	20	166	-0.87946	0.83978	0.98693	1.0	2829	4	0.15365
RVBD2925c:rnc	68	2.7885e-49	1.1807e-06	1.2e-05	21	59	-2.3311	0.99991	1.0	1.0	3901	1	0.1268
RVBD1166:lpqW	150	1.3865e-46	1.1807e-06	1.2e-05	22	131	-1.3124	1.0	1.0	1.0	3972	4	0.15709
RVBD0206c:mmpL3	137	1.3711e-45	1.1807e-06	1.2e-05	23	121	-1.602	0.99733	0.99999	1.0	3826	2	0.20238
RVBD1302:rfe	207	2.0079e-45	1.1807e-06	1.2e-05	24	149	-1.5141	0.97776	0.9996	1.0	3628	17	0.20021
