id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
RVBD3793:embC	406	3.0508e-217	1.1807e-06	3.1e-05	1	396	-1.4765	1.0	0.99982	1.0	4007	3	0.73511
RVBD3795:embB	362	3.7523e-215	1.1807e-06	3.1e-05	2	358	-2.0183	1.0	0.99982	1.0	4004	0	0
RVBD3794:embA	373	1.6887e-213	1.1807e-06	3.1e-05	3	368	-2.0466	1.0	0.99982	1.0	4014	2	0.27984
RVBD2673:aftC	218	2.1115e-122	1.1807e-06	3.1e-05	4	214	-1.3553	1.0	0.99982	1.0	3971	2	1.1979
RVBD0236c:aftD	450	1.4759e-70	1.1807e-06	3.1e-05	5	330	-0.71385	1.0	0.99982	1.0	3964	40	0.32213
RVBD0384c:clpB	162	5.1174e-69	1.1807e-06	3.1e-05	6	149	-1.1123	1.0	0.99982	1.0	4015	4	0.15422
RVBD2587c:secD	161	2.3826e-68	1.1807e-06	3.1e-05	7	146	-1.3128	1.0	0.99982	1.0	3986	7	0.30797
RVBD0667:rpoB	161	9.8482e-65	1.1807e-06	3.1e-05	8	152	-1.0045	1.0	0.99978	1.0	3952	4	0.29084
RVBD3645:RVBD3645	164	4.0935e-57	1.1807e-06	3.1e-05	9	142	-1.192	1.0	0.99982	1.0	3991	9	0.29442
RVBD3792:aftA	204	2.3584e-52	1.1807e-06	3.1e-05	10	167	-1.072	1.0	0.99982	1.0	4002	6	0.27661
RVBD3805c:aftB	256	4.07e-50	1.1807e-06	3.1e-05	11	199	-0.67986	1.0	0.99982	1.0	4016	23	0.39154
RVBD2881c:cdsA	140	4.0204e-41	1.1807e-06	3.1e-05	12	122	-0.6669	0.99986	0.80081	1.0	3795	7	0.27436
RVBD0020c:fhaA	85	1.0246e-40	1.1807e-06	3.1e-05	13	83	-1.31	1.0	0.99995	1.0	4001	1	0.11765
RVBD1708:RVBD1708	89	8.4855e-37	1.1807e-06	3.1e-05	14	85	-0.93996	1.0	0.99992	1.0	3992	3	0.27111
RVBD1476:RVBD1476	77	1.8598e-36	1.1807e-06	3.1e-05	15	74	-1.233	1.0	0.99923	1.0	3927	1	0.89047
RVBD2182c:RVBD2182c	76	9.9597e-35	1.1807e-06	3.1e-05	16	71	-1.0219	1.0	0.99997	1.0	4005	2	0.15824
RVBD1302:rfe	207	2.398e-34	1.1807e-06	3.1e-05	17	153	-0.5973	1.0	0.99982	1.0	4010	13	0.25465
RVBD2586c:secF	95	6.4684e-34	1.1807e-06	3.1e-05	18	83	-1.297	1.0	0.99971	1.0	3948	7	0.35769
RVBD0364:RVBD0364	90	5.1527e-33	1.1807e-06	3.1e-05	19	80	-1.1376	1.0	0.99991	1.0	3995	1	0.28045
RVBD3278c:RVBD3278c	58	3.2502e-32	1.1807e-06	3.1e-05	20	58	-1.0675	1.0	1.0	1.0	4000	0	0
RVBD0015c:pknA	75	4.193e-32	1.1807e-06	3.1e-05	21	68	-1.8804	1.0	0.99997	1.0	3956	3	0.26578
RVBD0668:rpoC	127	6.0698e-32	1.1807e-06	3.1e-05	22	105	-0.87753	1.0	0.99982	1.0	3987	7	0.37549
RVBD1254:RVBD1254	173	3.289e-31	1.1807e-06	3.1e-05	23	125	-0.69244	1.0	0.99977	1.0	3950	20	0.33511
RVBD2925c:rnc	68	1.1844e-30	1.1807e-06	3.1e-05	24	60	-1.6553	1.0	0.99961	1.0	3929	3	0.2074
RVBD1617:pykA	77	8.6313e-29	1.1807e-06	3.1e-05	25	70	-0.86766	1.0	0.99998	1.0	4013	1	0.20859
RVBD3909:RVBD3909	185	3.2468e-27	1.1807e-06	3.1e-05	26	132	-0.60988	1.0	0.99982	1.0	3975	20	0.35482
RVBD0014c:pknB	123	6.2634e-27	1.1807e-06	3.1e-05	27	87	-1.6338	1.0	0.99982	1.0	3960	16	0.30174
