id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
RVBD0002:dnaN	108	3.8775e-32	1.1807e-06	5e-05	1	64	-0.55186	0.31924	0.60888	1.0	1331	11	0.18889
RVBD3778c:RVBD3778c	111	6.2901e-28	1.1807e-06	5e-05	2	78	-0.53929	0.99085	0.99952	1.0	3834	5	0.21524
RVBD3246c:mtrA	57	4.1705e-27	1.1807e-06	5e-05	3	40	-0.50322	0.71885	0.91325	1.0	2398	4	0.20671
RVBD2925c:rnc	68	7.9013e-26	1.1807e-06	5e-05	4	46	-0.58026	0.29354	0.58607	1.0	1267	4	0.20918
RVBD1697:RVBD1697	98	8.4391e-20	1.1807e-06	5e-05	5	55	-0.55985	0.24059	0.51804	1.0	1096	13	0.25195
RVBD0058:dnaB	110	1.1811e-17	1.1807e-06	5e-05	6	61	-0.50848	0.72893	0.93425	1.0	2420	12	0.23594
RVBD2201:asnB	173	2.1263e-17	1.1807e-06	5e-05	7	86	-0.51889	0.69077	0.91696	1.0	2308	30	0.21784
RVBD0384c:clpB	162	7.7825e-17	1.1807e-06	5e-05	8	90	-0.33428	0.99833	0.99995	1.0	3950	12	0.20846
RVBD1708:RVBD1708	89	1.181e-14	1.1807e-06	5e-05	9	55	-0.48272	0.88274	0.98313	1.0	3059	5	0.2139
RVBD0543c:RVBD0543c	31	5.1373e-14	1.1807e-06	5e-05	10	26	-0.62197	0.99862	0.99877	1.0	3953	1	0.10895
RVBD1302:rfe	207	6.7249e-14	1.1807e-06	5e-05	11	93	-0.50557	0.2587	0.53684	1.0	1160	33	0.21054
RVBD3646c:topA	138	7.6951e-14	1.1807e-06	5e-05	12	76	-0.38678	0.40953	0.72523	1.0	1583	16	0.2272
RVBD3362c:RVBD3362c	8	9.0155e-14	1.1807e-06	5e-05	13	8	-0.50717	1.0	1.0	1.0	4018	0	0
RVBD0006:gyrA	152	7.0603e-13	1.1807e-06	5e-05	14	63	-0.4945	0.35168	0.66391	1.0	1408	25	0.19743
RVBD2524c:fas	437	7.599e-13	1.1807e-06	5e-05	15	182	-0.44978	0.95385	0.996	1.0	3507	47	0.21374
RVBD3245c:mtrB	142	1.7574e-12	1.1807e-06	5e-05	16	49	-0.358	0.3543	0.66545	1.0	1416	25	0.23224
RVBD1828:RVBD1828	41	2.7278e-12	1.1807e-06	5e-05	17	29	-0.55717	0.56527	0.80094	1.0	1972	2	0.2278
RVBD1181:pks4	39	4.0596e-12	1.1807e-06	5e-05	18	27	-0.35303	0.99999	0.99999	1.0	4005	0	0
