id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
RVBD3794:embA	270	4.5992e-139	1.1897e-06	2.6e-05	1	215	-1.9246	0.99557	0.9998	1.0	3771	14	0.20265
RVBD3795:embB	274	1.2476e-97	1.1897e-06	2.6e-05	2	195	-2.0321	0.65151	0.90538	1.0	2112	27	0.20959
RVBD3805c:aftB	213	4.5874e-90	1.1897e-06	2.6e-05	3	186	-1.2859	1.0	1.0	1.0	3925	2	0.21669
RVBD1477:ripA	101	1.586e-84	1.1897e-06	2.6e-05	4	96	-2.1133	1.0	1.0	1.0	3963	1	0.15692
RVBD1697:RVBD1697	70	6.3744e-64	1.1897e-06	2.6e-05	5	65	-2.8326	0.88315	0.97945	1.0	3004	2	0.21159
RVBD2174:mptA	173	1.2328e-62	1.1897e-06	2.6e-05	6	134	-1.8077	0.90086	0.9875	1.0	3092	9	0.22451
RVBD2673:aftC	158	1.6903e-61	1.1897e-06	2.6e-05	7	125	-1.6839	0.92187	0.99092	1.0	3211	9	0.22828
RVBD3245c:mtrB	135	4.0732e-60	1.1897e-06	2.6e-05	8	88	-2.662	0.043882	0.12603	0.988132	460	25	0.23298
RVBD3793:embC	280	3.5607e-57	1.1897e-06	2.6e-05	9	195	-1.0915	0.77408	0.95557	1.0	2546	21	0.24409
RVBD3246c:mtrA	54	4.3399e-54	1.1897e-06	2.6e-05	10	53	-3.0859	1.0	1.0	1.0	3984	0	0
RVBD0015c:pknA	56	3.922e-52	1.1897e-06	2.6e-05	11	52	-2.1771	0.98467	0.99826	1.0	3647	2	0.32377
RVBD1481:RVBD1481	118	1.7068e-46	1.1897e-06	2.6e-05	12	97	-1.1549	0.89682	0.98635	1.0	3070	7	0.23699
RVBD0667:rpoB	124	2.346e-45	1.1897e-06	2.6e-05	13	105	-1.1728	1.0	1.0	1.0	3932	3	0.24953
RVBD2524c:fas	328	3.087e-42	1.1897e-06	2.6e-05	14	228	-0.67022	0.0022516	0.0088386	0.171057	202	33	0.22962
RVBD3035:RVBD3035	69	2.7079e-38	1.1897e-06	2.6e-05	15	65	-1.4386	1.0	1.0	1.0	3982	0	0
