id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
RVBD3794:embA	270	2.3247e-311	3.5692e-06	0.00099	1	245	-1.3377	1.0	1.0	1.0	3982	4	0.36244
RVBD3795:embB	274	7.5884e-285	3.5692e-06	0.00099	2	239	-1.1631	1.0	1.0	1.0	3986	2	0.22144
RVBD2587c:secD	144	1.2826e-33	3.5692e-06	0.00099	3	75	-0.35369	1.0	1.0	1.0	3985	4	0.15468
RVBD2673:aftC	158	6.0746e-33	3.5692e-06	0.00099	4	84	-0.30009	0.79274	0.40373	0.620582	3206	8	0.25207
RVBD0364:RVBD0364	65	7.3262e-28	1.1897e-06	0.000707	5	41	-0.49177	0.96621	0.84525	0.957814	3765	4	0.19319
RVBD2586c:secF	78	1.7305e-23	2.3795e-06	0.00099	6	49	-0.41382	0.99749	0.97389	1.0	3940	6	0.2278
RVBD1476:RVBD1476	57	1.756e-14	1.1897e-06	0.000707	7	32	-0.34653	0.82422	0.58114	0.76912	3289	2	0.52802
RVBD3793:embC	280	9.179e-12	3.5692e-06	0.00099	8	82	-0.27617	0.74332	0.36266	0.582635	3102	45	0.25171
RVBD1823:RVBD1823	6	1.4302e-11	1.1897e-06	0.000707	9	6	-0.18348	1.0	1.0	1.0	3983	0	0
RVBD1423:whiA	52	1.0635e-10	1.1897e-06	0.000707	10	26	-0.27178	0.99998	0.99912	1.0	3977	1	0.2339
RVBD0020c:fhaA	63	1.1448e-10	2.3795e-06	0.00099	11	29	-0.29756	1.0	1.0	1.0	3984	0	0
RVBD2582:ppiB	67	4.6398e-09	4.7589e-06	0.001238	12	27	-0.20337	0.99982	0.99629	1.0	3972	1	0.28523
RVBD0037c:RVBD0037c	17	1.0677e-08	1.1897e-06	0.000707	13	11	-0.2568	0.99947	0.98977	1.0	3963	0	0
RVBD2847c:cysG	104	1.1026e-08	2.2605e-05	0.004703	14	36	-0.23596	0.99916	0.98434	1.0	3957	10	0.18952
RVBD0732:secY	33	1.6004e-08	1.1897e-06	0.000707	15	18	-0.34961	0.61108	0.40075	0.617607	2803	4	0.33012
RVBD1640c:lysX	29	2.0108e-08	3.5692e-06	0.00099	16	16	-0.34033	1.0	0.99975	1.0	3978	0	0
RVBD0642c:mmaA4	8	1.0772e-07	1.1897e-06	0.000707	17	8	-0.27667	1.0	1.0	1.0	3980	0	0
RVBD0014c:pknB	84	4.3921e-07	0.00026769	0.044554	18	27	-0.27945	0.0063303	2.0226e-05	0.000576	254	20	0.19108
RVBD0016c:pbpA	10	9.0349e-07	1.3087e-05	0.003203	19	7	-0.44195	0.99898	0.99172	1.0	3954	0	0
RVBD0643c:mmaA3	8	1.1992e-06	2.2605e-05	0.004703	20	7	-0.20292	0.99998	0.99977	1.0	3976	0	0
RVBD0012:RVBD0012	7	2.2125e-06	1.5467e-05	0.003575	21	6	-0.23681	0.99989	0.99917	1.0	3974	0	0
RVBD0111:RVBD0111	15	5.022e-06	0.00010113	0.018295	22	9	-0.33592	0.91784	0.80833	0.930402	3581	2	0.15167
RVBD2564:glnQ	8	6.3474e-06	8.6851e-05	0.016427	23	5	-0.26649	0.98195	0.92063	1.0	3839	0	0
RVBD0017c:rodA	14	7.5973e-06	0.00012016	0.020833	24	8	-0.36892	0.99752	0.9741	1.0	3941	0	0
RVBD3267:RVBD3267	9	9.5014e-06	7.7333e-05	0.015323	25	6	-0.28518	0.99816	0.98734	1.0	3946	0	0
RVBD1565c:RVBD1565c	20	1.3176e-05	0.00037477	0.057756	26	9	-0.60647	0.99984	0.99499	1.0	3973	0	0
RVBD1101c:RVBD1101c	15	2.7755e-05	0.00048422	0.069478	27	8	-0.19318	0.99669	0.96552	1.0	3932	0	0
RVBD3044:fecB	13	3.1064e-05	0.00042712	0.063472	28	8	-0.23199	1.0	0.99996	1.0	3979	0	0
RVBD0120c:fusA2	20	5.8404e-05	0.0011172	0.131523	29	10	-0.19457	0.32379	0.18451	0.398209	2001	6	0.21447
