id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
RVBD2984:ppk1	225	2.1266e-191	1.1723e-06	2e-05	1	209	-2.1456	1.0	1.0	1.0	4048	4	0.15596
RVBD1307:atpH	122	9.4254e-123	1.1723e-06	2e-05	2	120	-2.3109	1.0	1.0	1.0	4028	1	0.22992
RVBD0206c:mmpL3	249	1.6429e-117	1.1723e-06	2e-05	3	224	-1.0607	1.0	0.99997	1.0	3993	6	0.18359
RVBD1310:atpD	112	1.0728e-115	1.1723e-06	2e-05	4	107	-2.354	0.99891	0.98136	1.0	3767	2	0.30954
RVBD1308:atpA	110	1.1549e-111	1.1723e-06	2e-05	5	107	-2.4229	1.0	1.0	1.0	4037	1	0.25361
RVBD1697:RVBD1697	103	9.1802e-105	1.1723e-06	2e-05	6	97	-2.0833	1.0	1.0	1.0	4038	1	0.20359
RVBD1304:atpB	76	4.6627e-92	1.1723e-06	2e-05	7	76	-2.4996	1.0	1.0	1.0	4047	0	0
RVBD3794:embA	379	5.2308e-90	1.1723e-06	2e-05	8	276	-0.62342	0.64249	0.1425	0.77813	1361	33	0.20628
RVBD1477:ripA	137	1.7475e-79	1.1723e-06	2e-05	9	122	-1.7254	1.0	0.99997	1.0	3996	3	0.23223
RVBD1309:atpG	63	4.8985e-67	1.1723e-06	2e-05	10	63	-2.3456	1.0	1.0	1.0	4044	0	0
RVBD3246c:mtrA	57	8.3221e-66	1.1723e-06	2e-05	11	55	-2.4989	1.0	1.0	1.0	4023	0	0
RVBD1306:atpF	58	1.8708e-62	1.1723e-06	2e-05	12	57	-2.3728	1.0	1.0	1.0	4042	0	0
RVBD3795:embB	371	1.7859e-60	1.1723e-06	2e-05	13	248	-0.51615	1.0	0.99997	1.0	3994	35	0.18377
RVBD2682c:dxs1	112	2.1426e-60	1.1723e-06	2e-05	14	103	-1.4225	1.0	1.0	1.0	4027	3	0.15853
RVBD2444c:rne	201	3.1842e-60	1.1723e-06	2e-05	15	172	-0.56051	1.0	1.0	1.0	4043	3	0.31991
RVBD3790:dprE1	125	1.6989e-55	1.1723e-06	2e-05	16	92	-1.6592	0.99998	0.99945	1.0	3950	8	0.2082
RVBD3778c:RVBD3778c	119	5.445e-55	1.1723e-06	2e-05	17	110	-0.69243	1.0	0.9999	1.0	3974	2	0.23853
RVBD0676c:mmpL5	33	1.4654e-54	1.1723e-06	2e-05	18	33	-4.12	1.0	1.0	1.0	4041	0	0
RVBD2870c:dxr	113	1.5134e-54	1.1723e-06	2e-05	19	92	-1.1996	0.97903	0.78295	1.0	3187	6	0.21411
RVBD0511:hemD	139	9.1763e-53	1.1723e-06	2e-05	20	112	-1.0257	0.99913	0.9846	1.0	3793	5	0.2894
RVBD3245c:mtrB	143	1.8998e-51	1.1723e-06	2e-05	21	82	-1.3207	0.795	0.28403	1.0	1812	37	0.18112
RVBD0058:dnaB	126	2.5904e-49	1.1723e-06	2e-05	22	97	-1.0934	0.99996	0.99909	1.0	3935	6	0.22621
RVBD3805c:aftB	267	1.2785e-43	1.1723e-06	2e-05	23	187	-0.55284	1.0	0.99996	1.0	3992	21	0.20542
RVBD2457c:clpX	115	1.0054e-38	1.1723e-06	2e-05	24	85	-1.2162	0.49474	0.074159	0.48857	1081	10	0.1625
RVBD0467:icl1	81	1.4378e-34	1.1723e-06	2e-05	25	70	-0.56885	0.99991	0.99898	1.0	3909	3	0.29478
RVBD2925c:rnc	68	7.5822e-33	1.1723e-06	2e-05	26	50	-1.1567	0.99193	0.95013	1.0	3486	10	0.1832
RVBD0015c:pknA	93	8.3702e-33	1.1723e-06	2e-05	27	72	-1.1599	0.99978	0.99664	1.0	3883	4	0.23079
RVBD0543c:RVBD0543c	36	9.6288e-33	1.1723e-06	2e-05	28	36	-1.4722	1.0	1.0	1.0	4046	0	0
RVBD2245:kasA	74	4.0911e-32	1.1723e-06	2e-05	29	55	-1.4715	0.97865	0.86117	1.0	3178	10	0.18516
RVBD1311:atpC	44	3.2963e-30	1.1723e-06	2e-05	30	39	-1.9099	1.0	0.99994	1.0	3977	1	0.14987
RVBD1837c:glcB	231	1.2544e-28	1.1723e-06	2e-05	31	149	-0.46082	1.0	0.99997	1.0	3999	27	0.19334
RVBD1828:RVBD1828	105	2.8664e-28	1.1723e-06	2e-05	32	84	-0.74091	1.0	0.99999	1.0	4010	6	0.17004
RVBD2476c:gdh	41	6.4351e-28	1.1723e-06	2e-05	33	39	-0.73232	1.0	1.0	1.0	4032	0	0
RVBD2145c:wag31	86	1.0568e-27	1.1723e-06	2e-05	34	70	-0.61127	1.0	0.99999	1.0	4003	4	0.18848
RVBD1111c:RVBD1111c	99	2.2399e-26	1.1723e-06	2e-05	35	60	-1.281	0.22473	0.013435	0.119804	668	23	0.30684
RVBD3846:sodA	66	2.8529e-26	1.1723e-06	2e-05	36	60	-0.54808	0.99996	0.99967	1.0	3937	1	0.36847
RVBD1830:RVBD1830	43	7.0484e-26	1.1723e-06	2e-05	37	39	-1.6325	1.0	1.0	1.0	4013	0	0
RVBD1479:moxR1	161	4.6685e-25	1.1723e-06	2e-05	38	107	-0.46271	0.99915	0.98509	1.0	3796	14	0.21717
RVBD1708:RVBD1708	105	7.6955e-25	1.1723e-06	2e-05	39	75	-0.74274	0.88496	0.42876	1.0	2237	8	0.25931
RVBD3809c:glf	82	9.9542e-25	1.1723e-06	2e-05	40	67	-0.72126	0.74957	0.28271	1.0	1641	2	0.7746
RVBD2247:accD6	94	2.1655e-24	1.1723e-06	2e-05	41	61	-1.1613	0.99839	0.97856	1.0	3726	15	0.17271
RVBD1547:dnaE1	206	1.2522e-23	1.1723e-06	2e-05	42	125	-0.63214	1.0	0.99991	1.0	3978	22	0.20882
RVBD3808c:glfT2	141	5.4451e-23	1.1723e-06	2e-05	43	101	-0.70147	0.56227	0.10171	0.620708	1202	10	0.33133
RVBD0667:rpoB	209	1.4337e-22	1.1723e-06	2e-05	44	129	-0.54043	0.83974	0.3439	1.0	2011	19	0.20484
RVBD3604c:RVBD3604c	83	1.5759e-22	1.1723e-06	2e-05	45	65	-0.55761	1.0	0.99998	1.0	3990	3	0.2296
RVBD0002:dnaN	132	3.0193e-22	1.1723e-06	2e-05	46	90	-0.43784	0.99955	0.99126	1.0	3840	9	0.20775
RVBD0227c:RVBD0227c	91	2.3237e-21	1.1723e-06	2e-05	47	65	-0.78941	0.7788	0.28957	1.0	1756	13	0.46541
RVBD3587c:RVBD3587c	53	1.052e-20	1.1723e-06	2e-05	48	40	-1.6263	0.96839	0.87582	1.0	3029	5	0.32051
RVBD3302c:glpD2	114	2.0454e-20	1.1723e-06	2e-05	49	83	-0.66659	0.97816	0.77879	1.0	3171	13	0.22656
RVBD1480:RVBD1480	62	2.2809e-20	1.1723e-06	2e-05	50	48	-0.68557	0.99629	0.97891	1.0	3627	4	0.27987
RVBD0677c:mmpS5	7	3.0072e-20	1.1723e-06	2e-05	51	7	-4.2556	1.0	1.0	1.0	4040	0	0
RVBD0001:dnaA	46	4.1103e-20	1.1723e-06	2e-05	52	38	-1.5578	0.99996	0.9997	1.0	3936	1	0.26608
RVBD3806c:ubiA	67	8.7055e-20	1.1723e-06	2e-05	53	51	-0.90323	0.91686	0.6401	1.0	2471	3	0.54955
RVBD3257c:pmmA	98	2.5043e-19	1.1723e-06	2e-05	54	65	-0.84028	0.59762	0.12141	0.703317	1280	12	0.3718
RVBD2182c:RVBD2182c	87	3.3117e-19	1.1723e-06	2e-05	55	63	-0.53148	0.99997	0.99958	1.0	3948	6	0.26815
RVBD0005:gyrB	83	4.981e-18	1.1723e-06	2e-05	56	62	-0.79808	0.95225	0.70155	1.0	2811	4	0.45981
RVBD0410c:pknG	19	6.3583e-18	1.1723e-06	2e-05	57	19	-0.93292	1.0	1.0	1.0	4045	0	0
RVBD1248c:RVBD1248c	29	7.6153e-18	1.1723e-06	2e-05	58	28	-0.67455	1.0	1.0	1.0	4025	0	0
RVBD0455c:RVBD0455c	10	2.6205e-17	1.1723e-06	2e-05	59	10	-3.2532	1.0	1.0	1.0	4039	0	0
RVBD1481:RVBD1481	123	5.4794e-17	1.1723e-06	2e-05	60	80	-0.39479	0.99999	0.99973	1.0	3961	8	0.24416
RVBD1005c:pabB	109	8.3297e-17	1.1723e-06	2e-05	61	56	-1.0148	0.9568	0.65554	1.0	2881	23	0.21828
RVBD2711:ideR	56	1.2072e-16	1.1723e-06	2e-05	62	43	-0.50838	1.0	1.0	1.0	4006	1	0.13791
