id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
RVBD0384c:clpB	164	8.0649e-129	2.2273e-05	0.000707	1	154	-0.97644	1.0	1.0	1.0	4045	1	0.16162
RVBD2524c:fas	600	3.7553e-118	2.2273e-05	0.000707	2	407	-0.75641	1.0	1.0	1.0	4020	36	0.3475
RVBD2587c:secD	161	2.8462e-82	2.2273e-05	0.000707	3	142	-0.65275	1.0	1.0	1.0	4015	2	0.26593
RVBD3490:otsA	176	4.7535e-77	2.2273e-05	0.000707	4	148	-0.72473	1.0	1.0	1.0	4048	4	0.15053
RVBD3645:RVBD3645	171	1.7597e-67	2.2273e-05	0.000707	5	142	-0.65646	1.0	1.0	1.0	4037	7	0.18815
RVBD0511:hemD	139	2.6732e-62	2.2273e-05	0.000707	6	130	-0.84015	1.0	1.0	1.0	4035	2	0.213
RVBD2586c:secF	95	2.8645e-57	1.4067e-05	0.000707	7	86	-0.82078	1.0	1.0	1.0	4036	1	0.14882
RVBD1611:trpC	76	1.8536e-52	4.6891e-06	0.000404	8	72	-0.9295	1.0	0.99997	1.0	3987	1	0.29907
RVBD1708:RVBD1708	105	2.1325e-51	2.2273e-05	0.000707	9	94	-0.71136	1.0	0.99998	1.0	3998	5	0.27559
RVBD1594:nadA	108	9.5116e-49	2.2273e-05	0.000707	10	95	-0.76951	1.0	1.0	1.0	4030	1	0.36485
RVBD1595:nadB	119	1.3197e-42	2.2273e-05	0.000707	11	99	-0.61541	0.99999	0.99948	1.0	3958	7	0.22696
RVBD2182c:RVBD2182c	87	1.3964e-42	1.524e-05	0.000707	12	76	-0.98103	0.99993	0.99757	1.0	3929	2	0.40453
RVBD2110c:prcB	70	1.1193e-41	7.0336e-06	0.00054	13	64	-0.68813	0.9983	0.97677	1.0	3797	3	0.21788
RVBD0058:dnaB	126	4.1395e-40	2.2273e-05	0.000707	14	93	-1.1018	0.98709	0.77823	1.0	3518	20	0.20339
RVBD1459c:RVBD1459c	204	1.6902e-36	2.2273e-05	0.000707	15	141	-0.31222	0.95242	0.54892	1.0	3126	16	0.23966
RVBD0647c:RVBD0647c	104	3.857e-35	2.2273e-05	0.000707	16	86	-0.57077	0.53212	0.090972	0.412646	1625	2	0.63433
RVBD1854c:ndh	101	7.1107e-31	2.2273e-05	0.000707	17	80	-0.45473	0.99835	0.95228	1.0	3800	5	0.17844
RVBD1327c:glgE	167	1.0824e-30	2.2273e-05	0.000707	18	116	-0.42181	1.0	0.99971	1.0	3966	13	0.19756
RVBD3778c:RVBD3778c	119	7.1736e-30	2.2273e-05	0.000707	19	91	-0.33794	1.0	1.0	1.0	4026	4	0.28471
RVBD2109c:prcA	38	2.3104e-29	1.1723e-06	0.000124	20	36	-0.77213	1.0	1.0	1.0	4010	0	0
RVBD3846:sodA	66	4.704e-28	5.8613e-06	0.000476	21	52	-0.6875	1.0	1.0	1.0	4008	2	0.25398
RVBD1477:ripA	137	1.3046e-27	2.2273e-05	0.000707	22	94	-0.69756	1.0	0.99982	1.0	3975	11	0.16705
RVBD2219:RVBD2219	79	1.4512e-26	1.055e-05	0.000689	23	62	-0.6234	1.0	0.99987	1.0	3967	2	0.2412
RVBD2373c:dnaJ2	80	2.0116e-26	1.2895e-05	0.000689	24	65	-0.44633	1.0	0.99999	1.0	3993	3	0.29039
RVBD3597c:lsr2	16	6.051e-25	1.1723e-06	0.000124	25	16	-1.274	1.0	1.0	1.0	4047	0	0
RVBD3710:leuA	154	1.3717e-24	2.2273e-05	0.000707	26	99	-0.48703	1.0	0.99983	1.0	3978	12	0.13701
RVBD1072:RVBD1072	14	4.5388e-24	1.1723e-06	0.000124	27	14	-2.0409	1.0	1.0	1.0	4046	0	0
RVBD0018c:pstP	155	1.6623e-23	2.2273e-05	0.000707	28	99	-0.41348	1.0	1.0	1.0	4041	9	0.18854
RVBD3277:RVBD3277	89	1.9866e-23	9.3782e-06	0.00066	29	67	-0.55403	1.0	0.99987	1.0	3979	8	0.20997
RVBD1640c:lysX	29	1.2093e-22	1.1723e-06	0.000124	30	27	-0.56954	1.0	1.0	1.0	4007	0	0
RVBD2610c:pimA	120	1.2143e-22	2.2273e-05	0.000707	31	82	-0.32652	1.0	0.99998	1.0	3995	7	0.13482
RVBD2881c:cdsA	145	1.4729e-22	2.2273e-05	0.000707	32	94	-0.31354	0.9994	0.97651	1.0	3859	9	0.24444
RVBD2703:sigA	36	3.4134e-22	1.1723e-06	0.000124	33	32	-1.3002	0.98504	0.94391	1.0	3479	2	0.19026
RVBD3273:RVBD3273	22	4.8512e-22	1.1723e-06	0.000124	34	22	-0.64799	1.0	1.0	1.0	4044	0	0
RVBD1258c:RVBD1258c	11	2.1928e-21	1.1723e-06	0.000124	35	11	-2.5782	1.0	1.0	1.0	4043	0	0
RVBD3030:RVBD3030	61	7.8858e-20	2.3445e-06	0.00022	36	47	-0.41123	1.0	0.99999	1.0	3989	3	0.18301
RVBD1208:gpgS	82	1.9258e-19	9.3782e-06	0.00066	37	58	-0.4539	0.92739	0.53838	1.0	2922	9	0.21902
RVBD3032:RVBD3032	94	2.7317e-19	1.1723e-05	0.000689	38	64	-0.40541	0.99995	0.99781	1.0	3933	9	0.20481
RVBD3596c:clpC1	98	3.4583e-19	1.8756e-05	0.000707	39	64	-0.67146	1.0	0.99968	1.0	3962	4	0.49328
RVBD2220:glnA1	140	2.283e-18	2.2273e-05	0.000707	40	86	-0.37927	1.0	0.99997	1.0	3994	9	0.20291
RVBD0667:rpoB	209	3.643e-18	2.2273e-05	0.000707	41	116	-0.37286	1.0	1.0	1.0	4031	22	0.25113
RVBD2870c:dxr	113	6.5957e-18	2.2273e-05	0.000707	42	71	-0.52007	0.99258	0.84326	1.0	3632	17	0.18685
RVBD1697:RVBD1697	103	9.7972e-18	2.2273e-05	0.000707	43	69	-0.33828	0.99931	0.97461	1.0	3854	14	0.21791
RVBD2611c:RVBD2611c	120	1.643e-17	2.2273e-05	0.000707	44	77	-0.30014	0.99813	0.9405	1.0	3789	18	0.23652
RVBD2996c:serA1	96	4.2839e-17	1.4067e-05	0.000707	45	64	-0.46008	0.40308	0.073399	0.360902	1316	11	0.30171
RVBD0357c:purA	151	4.4798e-17	2.2273e-05	0.000707	46	90	-0.39479	1.0	0.99988	1.0	3982	13	0.25627
RVBD3031:RVBD3031	131	8.2131e-17	2.2273e-05	0.000707	47	73	-0.44711	0.99967	0.98611	1.0	3891	14	0.20011
RVBD0440:groEL2	82	1.5373e-16	9.3782e-06	0.00066	48	55	-0.67765	0.99839	0.96952	1.0	3804	7	0.2584
RVBD3311:RVBD3311	12	2.3565e-16	1.1723e-06	0.000124	49	12	-0.74512	1.0	1.0	1.0	4042	0	0
RVBD3198c:uvrD2	190	2.4222e-16	2.2273e-05	0.000707	50	105	-0.30932	1.0	0.99998	1.0	3996	15	0.15548
RVBD2921c:ftsY	85	2.7412e-16	1.2895e-05	0.000689	51	57	-0.44732	0.99996	0.9988	1.0	3938	2	0.29307
RVBD1423:whiA	67	6.6413e-16	4.6891e-06	0.000404	52	35	-0.70507	0.99241	0.92686	1.0	3627	8	0.20223
RVBD3587c:RVBD3587c	53	1.0897e-15	7.0336e-06	0.00054	53	37	-1.0028	0.99715	0.97964	1.0	3761	7	0.23751
RVBD3800c:pks13	358	6.3518e-15	2.2273e-05	0.000707	54	164	-0.33765	1.0	1.0	1.0	4038	47	0.26589
RVBD2925c:rnc	68	2.742e-14	2.3445e-06	0.00022	55	33	-0.74994	0.26236	0.054001	0.296547	1010	22	0.22449
RVBD3043c:ctaD	242	3.2212e-14	2.2273e-05	0.000707	56	121	-0.3532	0.27576	0.0069832	0.05421	1033	18	0.47957
RVBD0805:RVBD0805	6	4.4716e-14	1.1723e-06	0.000124	57	6	-1.7031	1.0	1.0	1.0	4022	0	0
RVBD3780:RVBD3780	38	1.676e-13	1.1723e-06	0.000124	58	30	-0.46577	0.96449	0.87586	1.0	3237	2	0.25745
RVBD3410c:guaB3	84	2.1242e-13	1.524e-05	0.000707	59	53	-0.35334	0.99969	0.99182	1.0	3894	4	0.2061
RVBD2690c:RVBD2690c	20	3.1357e-13	1.1723e-06	0.000124	60	20	-0.58609	1.0	1.0	1.0	4040	0	0
RVBD3863:RVBD3863	81	6.1817e-13	8.2059e-06	0.000608	61	51	-0.74547	0.96241	0.67619	1.0	3215	7	0.24943
RVBD3646c:topA	171	6.3395e-13	2.2273e-05	0.000707	62	85	-0.35349	0.99987	0.99387	1.0	3922	29	0.35139
RVBD0350:dnaK	113	7.8088e-13	2.2273e-05	0.000707	63	64	-0.40825	0.99993	0.99598	1.0	3928	9	0.3057
RVBD1248c:RVBD1248c	29	8.1919e-13	1.1723e-06	0.000124	64	25	-0.37758	0.99981	0.99827	1.0	3910	1	0.3167
RVBD1280c:oppA	10	1.2391e-12	1.1723e-06	0.000124	65	10	-0.7338	1.0	1.0	1.0	4034	0	0
RVBD2682c:dxs1	112	1.4297e-12	2.2273e-05	0.000707	66	53	-0.77258	0.99655	0.91065	1.0	3732	19	0.31094
RVBD3038c:RVBD3038c	88	1.4787e-12	1.8756e-05	0.000707	67	55	-0.34644	1.0	0.99987	1.0	3974	7	0.13659
RVBD1282c:oppC	14	1.8256e-12	1.1723e-06	0.000124	68	14	-0.68993	1.0	1.0	1.0	4033	0	0
RVBD0811c:RVBD0811c	97	3.1869e-12	1.1723e-05	0.000689	69	56	-0.3553	0.9997	0.9885	1.0	3898	9	0.20269
RVBD1536:ileS	309	3.9471e-12	2.2273e-05	0.000707	70	137	-0.34321	1.0	0.99983	1.0	3976	48	0.2875
RVBD0510:hemC	47	6.0435e-12	1.1723e-06	0.000124	71	27	-0.99149	0.85452	0.54003	1.0	2546	9	0.27346
RVBD2247:accD6	94	9.647e-12	1.1723e-05	0.000689	72	55	-0.57763	0.9705	0.67051	1.0	3298	16	0.21306
RVBD0284:eccC3	365	2.2491e-11	2.2273e-05	0.000707	73	158	-0.33967	1.0	0.99982	1.0	3973	48	0.2824
RVBD1129c:RVBD1129c	15	3.1153e-11	1.1723e-06	0.000124	74	15	-0.42561	1.0	1.0	1.0	4025	0	0
RVBD2169c:RVBD2169c	9	4.4066e-11	1.1723e-06	0.000124	75	9	-0.98929	1.0	1.0	1.0	3997	0	0
RVBD2711:ideR	56	7.0725e-11	7.0336e-06	0.00054	76	37	-0.32524	0.99979	0.9974	1.0	3904	5	0.18518
RVBD1281c:oppD	10	7.7463e-11	1.1723e-06	0.000124	77	10	-0.63522	1.0	1.0	1.0	4029	0	0
RVBD2147c:RVBD2147c	21	9.5469e-11	1.1723e-06	0.000124	78	14	-1.0756	0.97029	0.92843	1.0	3297	3	0.1981
RVBD1830:RVBD1830	43	9.595e-11	2.3445e-06	0.00022	79	30	-0.70132	0.99998	0.99978	1.0	3949	1	0.26115
RVBD2146c:RVBD2146c	9	1.087e-10	1.1723e-06	0.000124	80	8	-0.81835	0.99815	0.99613	1.0	3791	0	0
RVBD2111c:pup	12	1.2603e-10	1.1723e-06	0.000124	81	12	-0.74066	1.0	1.0	1.0	4027	0	0
RVBD3272:RVBD3272	7	1.2634e-10	1.1723e-06	0.000124	82	7	-0.66646	1.0	1.0	1.0	4016	0	0
RVBD1283c:oppB	6	1.5195e-10	1.1723e-06	0.000124	83	6	-0.7661	1.0	1.0	1.0	4032	0	0
RVBD0928:pstS3	9	1.9989e-10	1.1723e-06	0.000124	84	8	-0.78113	0.99998	0.99999	1.0	3943	0	0
RVBD0020c:fhaA	90	2.5891e-10	1.7584e-05	0.000707	85	47	-0.38756	0.99179	0.86209	1.0	3612	9	0.21922
RVBD0808:purF	107	5.9624e-10	2.2273e-05	0.000707	86	57	-0.39447	0.9997	0.98673	1.0	3897	14	0.1919
RVBD0883c:RVBD0883c	54	7.252e-10	2.3445e-06	0.00022	87	32	-0.63682	0.97352	0.8549	1.0	3334	9	0.21786
RVBD2582:ppiB	67	8.79e-10	4.6891e-06	0.000404	88	42	-0.24612	0.99998	0.99948	1.0	3941	2	0.25755
RVBD0884c:serC	75	1.3845e-09	1.1723e-05	0.000689	89	45	-0.39447	1.0	0.99998	1.0	3985	3	0.26206
RVBD3208:RVBD3208	8	1.6467e-09	1.1723e-06	0.000124	90	8	-0.53542	1.0	1.0	1.0	4021	0	0
RVBD2612c:pgsA1	86	2.0495e-09	3.3996e-05	0.001033	91	49	-0.30009	0.99545	0.91839	1.0	3700	6	0.26226
RVBD1636:TB15.3	18	3.8807e-09	1.1723e-06	0.000124	92	16	-0.27341	1.0	1.0	1.0	4023	0	0
RVBD1069c:RVBD1069c	11	4.1173e-09	1.1723e-06	0.000124	93	10	-0.35504	0.99986	0.99974	1.0	3920	0	0
RVBD0180c:RVBD0180c	15	4.24e-09	1.1723e-06	0.000124	94	14	-0.35444	1.0	1.0	1.0	4003	0	0
RVBD2178c:aroG	62	4.9458e-09	1.2895e-05	0.000689	95	36	-0.46613	0.882	0.51793	1.0	2662	12	0.21632
RVBD1221:sigE	5	5.3026e-09	1.1723e-06	0.000124	96	5	-1.2057	1.0	1.0	1.0	4019	0	0
RVBD2692:ceoC	6	5.6463e-09	1.1723e-06	0.000124	97	6	-0.66552	1.0	1.0	1.0	4018	0	0
RVBD3197A:whiB7	4	6.0236e-09	1.1723e-06	0.000124	98	4	-2.1649	1.0	1.0	1.0	4017	0	0
RVBD1185c:fadD21	21	9.185e-09	2.3445e-06	0.00022	99	18	-0.21433	0.99999	0.99996	1.0	3961	0	0
RVBD0929:pstC2	10	1.0456e-08	1.1723e-06	0.000124	100	10	-0.62928	1.0	1.0	1.0	4005	0	0
RVBD0736:rslA	8	1.2208e-08	1.2895e-05	0.000689	101	8	-0.48019	1.0	1.0	1.0	4013	0	0
RVBD3263:RVBD3263	18	1.313e-08	1.1723e-06	0.000124	102	14	-0.61506	0.99999	0.99997	1.0	3956	0	0
RVBD0001:dnaA	46	1.3183e-08	3.5168e-06	0.000323	103	24	-0.95039	0.4561	0.11927	0.495317	1418	13	0.29177
RVBD2185c:TB16.3	8	1.6767e-08	1.2895e-05	0.000689	104	8	-0.47874	1.0	1.0	1.0	4009	0	0
RVBD3825c:pks2	56	1.8419e-08	1.2895e-05	0.000689	105	33	-0.2827	0.99998	0.99975	1.0	3950	4	0.14992
RVBD2926c:RVBD2926c	7	2.1478e-08	5.8613e-06	0.000476	106	7	-0.95846	1.0	1.0	1.0	3971	0	0
RVBD3604c:RVBD3604c	83	2.328e-08	1.7584e-05	0.000707	107	46	-0.29144	1.0	1.0	1.0	4011	6	0.18912
RVBD1827:garA	28	2.3585e-08	1.1723e-06	0.000124	108	17	-0.60369	0.47198	0.1977	0.67167	1463	5	0.80501
RVBD3720:RVBD3720	12	3.0238e-08	3.3996e-05	0.001033	109	12	-0.48577	1.0	1.0	1.0	4006	0	0
RVBD1181:pks4	39	3.5459e-08	1.1723e-06	0.000124	110	27	-0.3005	0.99897	0.99408	1.0	3831	3	0.2767
RVBD2707:RVBD2707	23	4.3806e-08	1.1723e-06	0.000124	111	19	-0.38539	0.041589	0.0036376	0.030971	533	1	1.6613
RVBD2462c:tig	8	4.46e-08	1.2895e-05	0.000689	112	8	-0.42538	1.0	1.0	1.0	4004	0	0
RVBD2359:zur	6	5.4651e-08	1.1723e-06	0.000124	113	6	-0.73698	1.0	1.0	1.0	4002	0	0
RVBD0347:RVBD0347	53	5.6503e-08	1.2895e-05	0.000689	114	33	-0.44225	0.99992	0.99918	1.0	3927	6	0.14662
RVBD0056:rplI	6	5.9923e-08	1.1723e-06	0.000124	115	6	-1.0074	1.0	1.0	1.0	4001	0	0
RVBD0903c:prrA	66	6.0053e-08	1.2895e-05	0.000689	116	36	-0.50524	0.99236	0.92682	1.0	3625	9	0.23051
RVBD2150c:ftsZ	25	6.8568e-08	1.1723e-06	0.000124	117	15	-0.65754	0.43319	0.18288	0.641874	1373	5	0.58091
RVBD0011c:RVBD0011c	4	7.0971e-08	1.1723e-06	0.000124	118	4	-1.2183	1.0	1.0	1.0	4000	0	0
RVBD0820:phoT	7	1.9856e-07	5.8613e-06	0.000476	119	7	-0.42375	0.99994	0.99998	1.0	3932	0	0
