id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
RVBD2587c:secD	161	3.118e-69	1.1781e-06	0.00011	1	87	-0.61831	1.0	0.78768	0.872386	4027	3	0.34516
RVBD0667:rpoB	168	1.1036e-45	1.1781e-06	0.00011	2	69	-0.5392	1.0	0.52127	0.632697	4006	7	0.54104
RVBD2586c:secF	95	6.5262e-38	1.1781e-06	0.00011	3	45	-0.6962	0.99997	0.059228	0.117988	3952	2	0.51166
RVBD0685:tuf	35	1.5399e-36	1.1781e-06	0.00011	4	25	-0.9515	1.0	0.99394	1.0	4013	0	0
RVBD3100c:smpB	20	1.2858e-32	1.1781e-06	0.00011	5	18	-1.6631	0.9814	0.15047	0.245741	3392	1	0.66296
RVBD0668:rpoC	134	1.9067e-31	1.1781e-06	0.00011	6	49	-0.50295	0.99686	3.8878e-05	0.000193	3752	8	0.72733
ssr:ssr	24	3.0033e-31	1.1781e-06	0.00011	7	17	-1.5405	1.0	0.94515	1.0	3995	0	0
RVBD0126:treS	27	4.2167e-30	1.1781e-06	0.00011	8	21	-0.75698	1.0	0.99923	1.0	4026	0	0
RVBD0684:fusA1	66	5.1665e-28	1.1781e-06	0.00011	9	34	-0.67421	0.97639	0.00081409	0.002972	3308	5	0.48336
RVBD1473:RVBD1473	6	4.0358e-21	1.1781e-06	0.00011	10	6	-1.9314	1.0	1.0	1.0	4025	0	0
RVBD3846:sodA	65	7.1189e-21	1.1781e-06	0.00011	11	29	-0.50423	0.99999	0.20995	0.314967	3968	3	0.46546
RVBD1327c:glgE	109	3.248e-20	1.1781e-06	0.00011	12	36	-0.61942	0.92657	1.1781e-06	7e-06	2767	3	0.67598
RVBD2927c:RVBD2927c	24	1.0723e-18	1.1781e-06	0.00011	13	12	-1.6578	1.0	0.99216	1.0	4002	0	0
RVBD1299:prfA	60	1.133e-17	1.1781e-06	0.00011	14	25	-0.4929	0.99036	0.00079524	0.002911	3574	6	0.58861
RVBD2165c:RVBD2165c	80	1.2421e-17	1.1781e-06	0.00011	15	28	-0.63216	0.99991	0.05595	0.112008	3929	3	0.58318
RVBD1540:RVBD1540	58	9.2211e-16	1.1781e-06	0.00011	16	23	-0.63439	1.0	0.93469	1.0	4015	0	0
RVBD1023:eno	47	1.0598e-15	1.1781e-06	0.00011	17	21	-0.70317	1.0	0.91883	0.989183	4005	0	0
RVBD2731:RVBD2731	10	1.2821e-14	1.1781e-06	0.00011	18	10	-0.44898	1.0	1.0	1.0	4022	0	0
RVBD1014c:pth	38	1.3329e-14	1.1781e-06	0.00011	19	18	-0.55084	0.99928	0.1662	0.26504	3866	2	0.50299
RVBD2008c:RVBD2008c	14	1.42e-13	1.1781e-06	0.00011	20	11	-0.73807	1.0	0.99463	1.0	3991	0	0
RVBD3102c:ftsE	7	2.024e-13	1.1781e-06	0.00011	21	7	-0.98164	1.0	1.0	1.0	4020	0	0
RVBD0652:rplL	13	7.3537e-13	1.1781e-06	0.00011	22	9	-0.98638	0.97326	0.19788	0.300727	3263	1	0.5228
RVBD2163c:pbpB	134	9.0117e-13	1.1781e-06	0.00011	23	28	-0.80355	1.0	0.787	0.872386	4010	5	0.38742
RVBD3455c:truA	76	1.2101e-12	1.1781e-06	0.00011	24	21	-0.53719	0.99996	0.10144	0.182311	3949	6	0.31887
RVBD3101c:ftsX	8	3.234e-12	1.1781e-06	0.00011	25	8	-0.82406	1.0	1.0	1.0	4017	0	0
RVBD0127:mak	12	3.8388e-12	1.1781e-06	0.00011	26	10	-0.45911	0.9991	0.77299	0.860656	3854	0	0
RVBD1025:RVBD1025	40	1.3197e-11	1.1781e-06	0.00011	27	16	-0.62827	0.99884	0.12562	0.215268	3836	2	0.52691
RVBD1472:echA12	9	1.9692e-11	1.1781e-06	0.00011	28	7	-0.85421	1.0	1.0	1.0	4014	0	0
RVBD2511:orn	42	2.9028e-11	1.1781e-06	0.00011	29	16	-0.50437	0.97708	0.027673	0.063173	3323	2	0.6047
RVBD0467:icl1	81	4.7361e-11	1.1781e-06	0.00011	30	22	-0.36594	1.0	0.69652	0.794884	4007	1	0.43149
RVBD3014c:ligA	176	1.7307e-10	1.1781e-06	0.00011	31	32	-0.6655	0.99304	3.1809e-05	0.00016	3640	17	0.46515
RVBD1827:garA	15	4.1197e-10	1.1781e-06	0.00011	32	8	-0.62933	0.99421	0.3719	0.48805	3675	0	0
RVBD1024:RVBD1024	22	4.2623e-10	1.1781e-06	0.00011	33	10	-0.74873	0.9982	0.3343	0.448648	3810	1	0.40057
RVBD1828:RVBD1828	61	6.4085e-10	1.1781e-06	0.00011	34	14	-0.80702	0.011992	1.1781e-06	7e-06	398	26	0.686
RVBD0638:secE1	5	6.8565e-10	1.1781e-06	0.00011	35	5	-1.1897	1.0	1.0	1.0	4009	0	0
RVBD3051c:nrdE	91	8.6932e-10	1.1781e-06	0.00011	36	19	-0.63949	1.0	0.82009	0.901151	4019	1	0.31561
RVBD1326c:glgB	109	1.0504e-09	1.1781e-06	0.00011	37	23	-0.58767	1.0	0.54378	0.652844	4008	2	0.51275
RVBD2050:RVBD2050	28	9.3554e-09	1.1781e-06	0.00011	38	11	-0.64879	1.0	0.88104	0.956868	3990	0	0
RVBD3197A:whiB7	4	2.2873e-08	1.1781e-06	0.00011	39	4	-0.71653	1.0	1.0	1.0	4003	0	0
RVBD1712:cmk	50	5.0704e-08	3.5344e-06	0.000303	40	13	-0.45932	0.9846	0.031646	0.070656	3455	5	0.46175
RVBD0639:nusG	12	7.0772e-08	1.1781e-06	0.00011	41	7	-0.68962	0.99345	0.48853	0.602173	3653	0	0
RVBD2164c:RVBD2164c	104	1.1334e-07	2.2384e-05	0.001742	42	18	-0.78843	1.0	0.12243	0.210676	3977	2	0.49822
RVBD2404c:lepA	11	1.1477e-07	1.1781e-06	0.00011	43	6	-0.53221	0.94914	0.16834	0.267437	2976	1	0.35475
tRNA-Glu11:tRNA-Glu11	5	1.2839e-07	1.1781e-06	0.00011	44	5	-0.72881	1.0	1.0	1.0	3998	0	0
RVBD0903c:prrA	42	1.416e-07	3.5344e-06	0.000303	45	12	-0.59635	0.99999	0.54512	0.653899	3965	2	0.36907
RVBD0340:RVBD0340	6	2.1008e-07	1.1781e-06	0.00011	46	5	-0.57541	0.84716	0.12776	0.217519	2254	1	0.32358
RVBD0058:dnaB	109	2.1046e-07	4.3591e-05	0.003003	47	20	-0.63464	1.0	0.78768	0.872386	4012	3	0.3971
RVBD0001:dnaA	37	4.4407e-07	8.2469e-06	0.000666	48	11	-0.66126	0.99933	0.24596	0.354431	3871	2	0.3873
RVBD1423:whiA	60	5.8279e-07	3.1809e-05	0.002387	49	14	-0.68871	1.0	0.9261	0.995258	4024	0	0
RVBD0649:fabD2	8	5.8653e-07	3.5344e-06	0.000303	50	4	-0.57478	0.97182	0.41349	0.529374	3244	0	0
RVBD2725c:hflX	6	6.3935e-07	3.5344e-06	0.000303	51	5	-0.37114	0.99998	0.99907	1.0	3958	0	0
RVBD1475c:acn	236	9.657e-07	0.00015669	0.009406	52	31	-0.47539	1.0	0.78768	0.872386	4021	11	0.37244
RVBD2839c:infB	136	1.6813e-06	0.00024623	0.013982	53	20	-0.54575	0.99919	0.0018862	0.006101	3859	4	0.51188
RVBD2992c:gltS	81	1.7438e-06	0.00021795	0.012546	54	11	-0.62314	3.0025e-09	1.1781e-06	7e-06	121	38	0.83566
RVBD0701:rplC	8	1.7563e-06	5.8906e-06	0.000485	55	4	-0.99279	0.97402	0.42549	0.541063	3276	0	0
RVBD0819:mshD	7	2.1125e-06	5.8906e-06	0.000485	56	5	-0.38276	1.0	1.0	1.0	4004	0	0
tRNA-Thr39:tRNA-Thr39	3	2.3963e-06	1.1781e-06	0.00011	57	3	-0.8478	1.0	1.0	1.0	3984	0	0
RVBD2259:mscR	10	5.9273e-06	3.8878e-05	0.002817	58	2	-2.2568	0.94867	0.18227	0.283879	2972	1	0.28929
RVBD1957:RVBD1957	5	1.0492e-05	1.2959e-05	0.001027	59	4	-0.60214	1.0	0.99995	1.0	3979	0	0
tRNA-Arg18:tRNA-Arg18	11	1.2508e-05	7.8935e-05	0.005183	60	5	-0.45798	0.98989	0.46149	0.577191	3561	0	0
RVBD0928:pstS3	9	1.311e-05	4.1234e-05	0.002888	61	5	-0.35202	0.99982	0.96985	1.0	3915	0	0
RVBD2147c:RVBD2147c	21	1.3625e-05	0.00013077	0.008081	62	7	-0.78947	0.99986	0.72366	0.818527	3925	0	0
RVBD2994:RVBD2994	9	1.4036e-05	4.1234e-05	0.002888	63	2	-1.4507	0.88844	0.10687	0.189968	2484	1	0.33374
