id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
RVBD3490:otsA	170	2.8993e-32	0.00012724	0.033725	1	56	-0.55751	0.99678	0.44725	0.524083	3977	1	0.63384
RVBD0440:groEL2	48	3.3912e-13	8.2469e-06	0.008663	2	19	-0.62054	0.99919	0.74265	0.797707	3999	1	0.40505
RVBD2524c:fas	492	6.4475e-13	0.00012724	0.033725	3	63	-0.57607	0.0029258	1.1781e-06	1.6e-05	171	48	0.45372
RVBD2587c:secD	161	2.3114e-12	0.00012842	0.033725	4	32	-0.4509	0.99922	0.57668	0.643277	4002	6	0.36202
RVBD2219:RVBD2219	76	1.439e-10	6.5975e-05	0.030803	5	19	-0.57686	0.99976	0.75714	0.8114	4012	2	0.3189
RVBD2586c:secF	95	1.6685e-10	0.00014727	0.036029	6	23	-0.49507	0.99964	0.638	0.70143	4010	2	0.40793
RVBD2992c:gltS	81	3.6908e-10	7.4222e-05	0.031188	7	13	-0.59158	0.59731	0.0048433	0.017454	2458	11	0.48439
RVBD1072:RVBD1072	14	5.1635e-10	2.3563e-06	0.0033	8	9	-0.45936	0.99998	0.98522	1.0	4022	0	0
RVBD0018c:pstP	130	8.0808e-10	0.00019086	0.040099	9	23	-0.52324	0.9967	0.44638	0.52321	3976	4	0.40777
RVBD2996c:serA1	69	1.7605e-09	0.00011074	0.033725	10	18	-0.57685	0.99989	0.8056	0.858077	4014	1	0.26326
RVBD1258c:RVBD1258c	11	3.7534e-09	1.1781e-06	0.002475	11	7	-0.40745	1.0	0.99999	1.0	4026	0	0
RVBD0884c:serC	48	9.6115e-09	9.8963e-05	0.033725	12	14	-0.43125	0.99997	0.89091	0.938718	4021	0	0
RVBD3043c:ctaD	178	1.9185e-08	0.0014974	0.179774	13	27	-0.59084	0.8244	0.064497	0.128767	3256	21	0.52642
RVBD0647c:RVBD0647c	99	3.3901e-08	0.0017743	0.207096	14	20	-0.52405	0.99908	0.56716	0.634342	3997	3	0.52283
RVBD2703:sigA	26	3.7763e-08	2.7097e-05	0.018977	15	10	-0.78139	0.42344	0.038764	0.088142	1938	1	0.83628
RVBD0701:rplC	8	1.8995e-07	1.5316e-05	0.012871	16	4	-0.94474	0.98675	0.75343	0.807637	3913	0	0
RVBD1483:fabG1	29	3.1184e-07	0.00029807	0.056931	17	6	-0.70476	0.087189	0.0002156	0.001461	801	5	0.53062
RVBD3863:RVBD3863	70	5.5698e-07	0.0032646	0.333687	18	15	-0.52917	0.53663	0.003988	0.014572	2266	7	0.37661
RVBD1281c:oppD	10	7.1899e-07	4.1234e-05	0.024752	19	6	-0.42676	1.0	0.99883	1.0	4025	0	0
RVBD0649:fabD2	8	1.223e-06	5.066e-05	0.026609	20	4	-0.58239	0.70636	0.20496	0.296776	2834	1	0.32151
RVBD2994:RVBD2994	9	1.9399e-06	0.00011192	0.033725	21	3	-1.0801	0.75419	0.23548	0.327277	3004	1	0.2627
RVBD2112c:dop	16	3.098e-06	0.00048892	0.082178	22	2	-1.8818	0.21399	0.003684	0.01354	1305	3	0.41202
RVBD1280c:oppA	10	4.7394e-06	0.00027922	0.05587	23	5	-0.31631	0.98923	0.73484	0.791334	3928	0	0
RVBD1283c:oppB	6	6.3099e-06	0.00018732	0.040099	24	4	-0.3774	0.99991	0.99587	1.0	4015	0	0
RVBD0704:rplB	10	7.5182e-06	0.0003499	0.063926	25	4	-0.84841	0.35792	0.028547	0.069338	1763	1	0.42793
RVBD3838c:pheA	68	7.968e-06	0.013396	0.899865	26	9	-0.65846	0.50859	0.0035096	0.013028	2191	9	0.45551
RVBD0011c:RVBD0011c	4	1.154e-05	0.00015433	0.036029	27	3	-0.36314	0.99991	0.99839	1.0	4016	0	0
RVBD1282c:oppC	14	1.1623e-05	0.00098374	0.129177	28	5	-0.3349	0.98415	0.62451	0.688586	3897	0	0
RVBD1594:nadA	93	1.3323e-05	0.033969	1.0	29	16	-0.59354	0.8406	0.059942	0.122747	3313	7	0.48073
RVBD2153c:murG	137	1.6755e-05	0.042009	1.0	30	12	-0.61885	0.54342	0.0019687	0.008	2291	20	0.47837
RVBD2138:lppL	86	1.9498e-05	0.035326	1.0	31	6	-1.0135	0.58124	0.005364	0.019037	2408	11	0.3861
RVBD2418c:RVBD2418c	51	2.2385e-05	0.012539	0.893317	32	11	-0.43234	0.58742	0.034275	0.080014	2431	8	0.31378
RVBD0819:mshD	7	2.3176e-05	0.00052427	0.08473	33	4	-0.41567	0.97621	0.69866	0.756639	3860	0	0
RVBD0729:xylB	8	2.6931e-05	0.0008565	0.128536	34	3	-1.2347	0.061978	0.00077167	0.003865	671	2	0.46316
RVBD2551c:RVBD2551c	6	2.9271e-05	0.00068449	0.106527	35	2	-0.99479	0.86181	0.38095	0.462513	3391	0	0
RVBD1595:nadB	112	3.1781e-05	0.060095	1.0	36	17	-0.54668	0.10187	1.1781e-06	1.6e-05	871	2	0.55062
RVBD1060:RVBD1060	8	3.5314e-05	0.00092954	0.129177	37	2	-1.1702	0.093552	0.0019875	0.00803	833	1	0.54809
RVBD3846:sodA	65	3.7421e-05	0.027159	1.0	38	12	-0.4242	0.84083	0.093552	0.171138	3315	1	0.52092
RVBD0317c:glpQ2	8	3.836e-05	0.00097902	0.129177	39	3	-0.90335	0.049647	0.00035697	0.002104	591	3	0.36203
RVBD0019c:fhaB	4	4.4898e-05	0.0004418	0.077351	40	3	-0.41584	0.99986	0.99756	1.0	4013	0	0
RVBD0899:ompA	12	4.6278e-05	0.0020064	0.216425	41	3	-1.1724	0.57911	0.11589	0.201772	2400	1	0.58325
RVBD0736:rslA	8	4.7005e-05	0.0010426	0.132763	42	3	-0.42028	0.98965	0.77996	0.83288	3932	0	0
RVBD2446c:RVBD2446c	39	5.015e-05	0.012756	0.893317	43	5	-0.63456	0.022284	1.1781e-06	1.6e-05	396	5	0.42137
RVBD1640c:lysX	29	5.6755e-05	0.009134	0.710763	44	8	-0.40189	0.99953	0.80995	0.861841	4008	0	0
RVBD3321c:vapB44	5	6.7379e-05	0.00094839	0.129177	45	2	-0.65696	0.4982	0.11601	0.201772	2164	1	0.25244
RVBD2903c:lepB	90	8.7175e-05	0.068962	1.0	46	14	-0.53269	0.28587	0.00023445	0.001559	1549	11	0.36964
RVBD2846c:efpA	80	9.4808e-05	0.059772	1.0	47	13	-0.86112	0.41708	0.0012453	0.005608	1924	9	0.47578
RVBD0212c:nadR	5	9.641e-05	0.001177	0.145457	48	2	-0.55189	0.96312	0.69065	0.749126	3802	0	0
RVBD2611c:RVBD2611c	110	0.00012969	0.10811	1.0	49	6	-0.78317	0.2554	2.9453e-05	0.000286	1459	17	0.40866
RVBD0020c:fhaA	90	0.00014541	0.095225	1.0	50	13	-0.69453	0.30449	0.0002368	0.001567	1608	11	0.45627
RVBD2421c:nadD	26	0.00014861	0.013547	0.899865	51	7	-0.43934	0.99991	0.90276	0.949772	4017	0	0
RVBD2642:RVBD2642	7	0.00015449	0.0033353	0.333687	52	3	-0.61201	0.36909	0.053481	0.11186	1792	1	0.38511
16S:16S	47	0.00015562	0.03178	1.0	53	9	-0.56169	0.80221	0.087237	0.161984	3178	3	0.43657
RVBD3597c:lsr2	16	0.0001625	0.0071194	0.582159	54	5	-0.52126	0.99999	0.98859	1.0	4024	0	0
RVBD0058:dnaB	109	0.00018484	0.12309	1.0	55	13	-0.50553	0.39733	0.00028157	0.001752	1874	10	0.39575
tRNA-Gly4:tRNA-Gly4	14	0.00019223	0.0070417	0.582159	56	5	-0.45802	0.13167	0.0011746	0.005359	998	2	0.67614
RVBD1854c:ndh	97	0.00019842	0.11226	1.0	57	13	-0.71436	0.99492	0.37518	0.457224	3961	4	0.38751
tRNA-Leu19:tRNA-Leu19	10	0.00019888	0.0043767	0.417979	58	3	-0.82093	0.48307	0.079643	0.150883	2117	1	0.53106
RVBD0560c:RVBD0560c	5	0.00020842	0.0020064	0.216425	59	2	-1.626	0.8678	0.41044	0.48969	3418	0	0
RVBD1305:atpE	5	0.00021542	0.0020087	0.216425	60	3	-0.60096	0.8873	0.45615	0.531981	3482	0	0
RVBD3795:embB	367	0.00023611	0.13227	1.0	61	16	-1.0784	1.143e-17	1.1781e-06	1.6e-05	4	118	0.44308
RVBD1573:RVBD1573	5	0.00025071	0.0023692	0.248886	62	2	-0.62031	0.18716	0.016554	0.046628	1224	1	0.63646
RVBD2462c:tig	8	0.00025113	0.0050412	0.460504	63	4	0	1.0	1.0	1.0	4027	0	0
RVBD1101c:RVBD1101c	15	0.00026796	0.0097584	0.732231	64	1	-1.9554	0.9672	0.52396	0.594408	3820	0	0
RVBD1304:atpB	56	0.00028087	0.056598	1.0	65	10	-0.63015	0.62724	0.038274	0.087406	2559	3	0.42665
RVBD3825c:pks2	55	0.00032329	0.0655	1.0	66	3	-1.226	0.9985	0.68084	0.740206	3989	1	0.47457
RVBD1674c:RVBD1674c	6	0.00039443	0.0041411	0.404674	67	2	-0.84671	0.86723	0.38853	0.468608	3414	0	0
RVBD3489:RVBD3489	7	0.00041716	0.0058164	0.509179	68	3	-0.67924	0.94752	0.5506	0.619117	3730	0	0
RVBD2120c:RVBD2120c	76	0.00045251	0.11973	1.0	69	7	-0.37025	0.94973	0.13964	0.228496	3740	6	0.34539
RVBD2166c:RVBD2166c	1	0.00045857	1.1781e-06	0.002475	70	1	-1.4592	0.99954	1.0	1.0	4009	0	0
RVBD3064c:RVBD3064c	9	0.00050584	0.0096453	0.732231	71	2	-0.62645	0.71851	0.20144	0.293407	2872	1	0.24569
