id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
RVBD2524c:fas	492	1.2849e-165	2.1206e-05	0.000749	1	306	-0.8142	1.0	1.0	1.0	4026	1	0.57504
RVBD0384c:clpB	164	2.2831e-119	2.1206e-05	0.000749	2	130	-1.1135	1.0	1.0	1.0	4021	0	0
RVBD2587c:secD	161	3.7675e-117	2.1206e-05	0.000749	3	140	-0.79472	1.0	1.0	1.0	4024	0	0
RVBD3490:otsA	170	9.3839e-111	2.1206e-05	0.000749	4	136	-0.98666	1.0	0.98986	1.0	3963	1	0.46844
RVBD2586c:secF	95	9.0277e-67	1.4138e-05	0.000749	5	83	-0.93418	1.0	1.0	1.0	4016	0	0
RVBD0511:hemD	116	7.4332e-58	2.1206e-05	0.000749	6	85	-0.95894	1.0	1.0	1.0	4022	0	0
RVBD3846:sodA	65	1.2614e-53	3.5344e-06	0.000303	7	55	-1.2088	1.0	1.0	1.0	3999	0	0
RVBD1459c:RVBD1459c	205	1.0592e-51	2.1206e-05	0.000749	8	110	-0.58766	0.74007	0.083153	0.386527	2187	5	0.76949
RVBD1594:nadA	93	1.8839e-46	1.6494e-05	0.000749	9	68	-0.83797	1.0	0.99985	1.0	3986	0	0
RVBD3410c:guaB3	85	5.0027e-46	1.2959e-05	0.000726	10	60	-0.84562	1.0	1.0	1.0	4015	0	0
RVBD1595:nadB	112	1.2546e-43	2.1206e-05	0.000749	11	74	-0.7033	0.7288	0.081351	0.38168	2143	1	0.95341
RVBD2182c:RVBD2182c	78	2.4797e-43	4.7125e-06	0.000354	12	59	-0.89815	0.9922	0.72569	1.0	3746	1	0.59528
RVBD3645:RVBD3645	158	1.1383e-42	2.1206e-05	0.000749	13	86	-0.68204	1.0	0.9956	1.0	3970	1	0.41248
RVBD1837c:glcB	230	4.4473e-41	2.1206e-05	0.000749	14	105	-0.64494	1.0	0.9999	1.0	3988	2	0.38138
RVBD1307:atpH	95	2.6191e-39	1.4138e-05	0.000749	15	60	-0.98538	0.99999	0.98189	1.0	3952	0	0
RVBD2219:RVBD2219	76	1.0102e-38	4.7125e-06	0.000354	16	55	-0.68944	0.99981	0.93241	1.0	3906	1	0.30697
RVBD1308:atpA	75	6.8121e-35	8.2469e-06	0.000495	17	48	-1.0392	0.99997	0.99079	1.0	3937	0	0
RVBD1208:gpgS	82	8.6243e-34	4.7125e-06	0.000354	18	54	-0.76955	0.99738	0.81812	1.0	3814	1	0.3513
RVBD2110c:prcB	70	8.3049e-33	4.7125e-06	0.000354	19	50	-0.63915	0.99919	0.89496	1.0	3868	1	0.29634
RVBD1072:RVBD1072	14	1.513e-32	1.1781e-06	0.000124	20	14	-1.798	1.0	1.0	1.0	4023	0	0
RVBD1304:atpB	56	2.439e-30	5.8906e-06	0.000393	21	41	-0.9488	0.82687	0.23905	0.675501	2622	1	0.84125
RVBD3038c:RVBD3038c	88	6.7346e-29	1.4138e-05	0.000749	22	53	-0.6369	1.0	0.99865	1.0	3974	0	0
RVBD3277:RVBD3277	77	1.4271e-28	7.0688e-06	0.000443	23	49	-0.74241	0.99172	0.72883	1.0	3743	1	0.41619
RVBD1854c:ndh	97	1.6146e-28	1.5316e-05	0.000749	24	55	-0.58344	0.6686	0.073853	0.363676	1861	1	1.066
RVBD0357c:purA	135	1.9738e-28	2.1206e-05	0.000749	25	62	-0.7346	0.99994	0.95646	1.0	3929	1	0.54935
RVBD1310:atpD	84	4.1196e-28	7.0688e-06	0.000443	26	49	-0.82134	1.0	1.0	1.0	3996	0	0
RVBD1640c:lysX	29	4.867e-28	2.3563e-06	0.000211	27	27	-0.86992	1.0	1.0	1.0	4009	0	0
RVBD3032:RVBD3032	94	1.04e-27	2.3563e-05	0.000818	28	52	-0.68794	0.99994	0.95561	1.0	3932	1	0.2935
RVBD3646c:topA	145	1.2005e-27	2.1206e-05	0.000749	29	68	-0.67432	0.9997	0.90065	1.0	3894	5	0.44875
RVBD2925c:rnc	68	3.8235e-27	7.0688e-06	0.000443	30	41	-0.97607	0.99375	0.75696	1.0	3757	1	0.3466
RVBD0018c:pstP	130	1.191e-26	2.1206e-05	0.000749	31	62	-0.60264	0.98552	0.53827	0.96879	3677	2	0.5949
RVBD1611:trpC	62	3.1004e-26	7.0688e-06	0.000443	32	42	-0.97704	0.94061	0.45492	0.915074	3317	3	0.517
RVBD3031:RVBD3031	126	3.2055e-25	2.1206e-05	0.000749	33	60	-0.65834	0.99939	0.88468	1.0	3875	1	0.43958
RVBD2109c:prcA	37	3.9363e-25	1.1781e-06	0.000124	34	31	-0.73805	0.99998	0.99984	1.0	3943	0	0
RVBD1309:atpG	48	1.8373e-24	2.3563e-06	0.000211	35	35	-0.85767	0.99617	0.84595	1.0	3797	0	0
RVBD2881c:cdsA	142	1.9365e-24	2.1206e-05	0.000749	36	63	-0.52324	0.99999	0.98069	1.0	3958	1	0.53783
RVBD0058:dnaB	109	2.8473e-24	2.1206e-05	0.000749	37	50	-1.2284	0.99995	0.95774	1.0	3935	1	0.3156
RVBD3800c:pks13	280	3.7459e-24	2.1206e-05	0.000749	38	94	-0.59409	0.99857	0.82612	1.0	3845	11	0.48535
RVBD1258c:RVBD1258c	11	5.2478e-24	1.1781e-06	0.000124	39	11	-1.8534	1.0	1.0	1.0	4020	0	0
RVBD1248c:RVBD1248c	29	5.6784e-23	2.3563e-06	0.000211	40	25	-0.70373	0.99998	0.99996	1.0	3944	0	0
RVBD0647c:RVBD0647c	99	1.287e-22	1.1781e-05	0.000669	41	50	-0.75448	0.52134	0.0062405	0.056152	1325	1	0.99164
RVBD3039c:echA17	64	6.9894e-22	5.8906e-06	0.000393	42	39	-0.68817	1.0	1.0	1.0	3991	0	0
