id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
RVBD2587c:secD	153	1.0528e-47	1.19e-06	0.000127	1	98	-0.43892	1.0	0.99421	1.0	3969	11	0.22017
RVBD0667:rpoB	124	3.6934e-33	1.19e-06	0.000127	2	72	-0.36561	1.0	0.99991	1.0	3982	4	0.2047
ssr:ssr	22	6.0382e-31	1.19e-06	0.000127	3	18	-1.3946	0.99846	0.95224	1.0	3858	1	0.44761
RVBD0126:treS	23	6.3865e-27	1.19e-06	0.000127	4	22	-1.1172	1.0	1.0	1.0	3983	0	0
RVBD0684:fusA1	51	7.0285e-27	1.19e-06	0.000127	5	37	-0.55322	1.0	0.99676	1.0	3955	2	0.31013
RVBD0685:tuf	24	2.3318e-26	1.19e-06	0.000127	6	23	-0.82198	1.0	1.0	1.0	3980	0	0
RVBD3100c:smpB	13	1.04e-21	1.19e-06	0.000127	7	12	-1.8216	0.99731	0.93496	1.0	3827	1	0.16058
RVBD1299:prfA	43	1.0408e-21	1.19e-06	0.000127	8	32	-0.41894	1.0	0.99975	1.0	3974	1	0.26631
RVBD0668:rpoC	99	4.4165e-21	1.19e-06	0.000127	9	51	-0.32147	0.99948	0.65162	0.909946	3903	7	0.28612
RVBD1828:RVBD1828	25	2.5788e-18	1.19e-06	0.000127	10	18	-0.62569	1.0	0.99996	1.0	3973	0	0
RVBD1473:RVBD1473	6	3.368e-17	1.19e-06	0.000127	11	6	-1.8183	1.0	1.0	1.0	3984	0	0
RVBD2731:RVBD2731	10	3.776e-17	1.19e-06	0.000127	12	10	-0.50642	1.0	1.0	1.0	3985	0	0
RVBD2586c:secF	84	1.9707e-14	1.19e-06	0.000127	13	38	-0.45042	0.99932	0.71412	0.948862	3892	9	0.24056
RVBD2725c:hflX	6	3.8114e-14	1.19e-06	0.000127	14	6	-0.36262	1.0	1.0	1.0	3981	0	0
