id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
RVBD1640c:lysX	29	3.6e-18	1.19e-06	0.000354	1	25	-0.40087	1.0	1.0	1.0	3985	0	0
RVBD3490:otsA	139	1.9466e-17	2.38e-06	0.000582	2	74	-0.44282	0.99939	1.0	1.0	3953	5	0.20615
RVBD3246c:mtrA	55	1.5651e-15	3.5701e-06	0.000782	3	29	-0.71166	0.00015866	0.002881	0.168805	58	12	0.35524
RVBD1280c:oppA	10	1.94e-13	1.19e-06	0.000354	4	10	-0.43262	1.0	1.0	1.0	3983	0	0
RVBD2524c:fas	325	2.2981e-13	2.38e-06	0.000582	5	138	-0.32939	0.8113	0.98946	1.0	2918	16	0.20948
RVBD1594:nadA	66	1.4364e-12	5.9501e-06	0.00099	6	43	-0.38443	0.99997	0.99999	1.0	3973	1	0.17575
RVBD1258c:RVBD1258c	11	4.8225e-12	1.19e-06	0.000354	7	11	-0.42647	1.0	1.0	1.0	3984	0	0
RVBD0384c:clpB	154	1.2799e-11	2.38e-06	0.000582	8	71	-0.3482	0.88394	0.99602	1.0	3198	10	0.27349
RVBD3825c:pks2	54	1.9838e-10	5.9501e-06	0.00099	9	35	-0.27256	0.75963	0.96851	1.0	2768	4	0.29454
RVBD1072:RVBD1072	14	2.5945e-10	1.19e-06	0.000354	10	12	-0.41372	0.99917	0.99978	1.0	3945	0	0
RVBD1281c:oppD	10	5.3328e-10	1.19e-06	0.000354	11	9	-0.32432	0.99811	0.99946	1.0	3915	0	0
RVBD3597c:lsr2	13	1.4118e-09	1.19e-06	0.000354	12	12	-0.40652	0.9991	0.99982	1.0	3944	0	0
RVBD1282c:oppC	14	1.8784e-09	1.19e-06	0.000354	13	12	-0.33577	1.0	1.0	1.0	3979	0	0
RVBD1181:pks4	38	2.2223e-09	1.19e-06	0.000354	14	21	-0.36966	0.47133	0.82505	1.0	1910	3	0.40954
RVBD3245c:mtrB	137	3.1676e-09	4.6411e-05	0.00449	15	43	-0.36519	0.00048685	0.0089882	0.314211	75	38	0.20341
RVBD0929:pstC2	10	4.8573e-09	1.19e-06	0.000354	16	7	-0.41963	0.96074	0.97451	1.0	3628	0	0
RVBD1536:ileS	222	5.8508e-09	4.6411e-05	0.00449	17	93	-0.27293	0.89943	0.99677	1.0	3278	14	0.19136
RVBD1595:nadB	99	1.9498e-08	4.6411e-05	0.00449	18	46	-0.35437	0.99998	1.0	1.0	3977	2	0.16476
RVBD2587c:secD	153	1.9595e-08	4.6411e-05	0.00449	19	69	-0.32627	0.7866	0.98637	1.0	2845	5	0.20557
RVBD1283c:oppB	6	5.3592e-08	1.19e-06	0.000354	20	5	-0.38248	0.99565	0.99851	1.0	3891	0	0
RVBD0820:phoT	7	5.5012e-08	3.5701e-06	0.000782	21	5	-0.34841	0.94584	0.97065	1.0	3532	0	0
RVBD1185c:fadD21	21	6.9808e-08	1.19e-06	0.000354	22	15	-0.28403	0.98406	0.99112	1.0	3796	0	0
RVBD0928:pstS3	9	1.2033e-07	1.785e-05	0.002122	23	7	-0.32132	0.92017	0.9464	1.0	3391	0	0
RVBD1828:RVBD1828	25	1.5976e-07	0.00010115	0.007792	24	15	-0.28012	0.88763	0.96689	1.0	3214	1	0.46026
RVBD1182:papA3	12	2.3655e-07	3.4511e-05	0.00388	25	11	-0.36081	0.9765	0.98618	1.0	3735	0	0
RVBD2586c:secF	84	2.7502e-07	1.309e-05	0.001702	26	39	-0.34911	0.99997	1.0	1.0	3974	3	0.29306
RVBD2711:ideR	55	2.9257e-07	5.9501e-06	0.00099	27	30	-0.22188	0.98319	0.9991	1.0	3786	4	0.21964
RVBD3824c:papA1	17	4.8681e-07	4.8791e-05	0.004613	28	12	-0.27766	0.99645	0.99854	1.0	3897	0	0
RVBD1827:garA	8	7.8639e-07	1.309e-05	0.001702	29	8	-0.59723	1.0	1.0	1.0	3982	0	0
RVBD0866:moaE2	6	1.1468e-06	1.19e-06	0.000354	30	6	-0.27526	1.0	1.0	1.0	3981	0	0
RVBD0805:RVBD0805	6	1.566e-06	1.19e-06	0.000354	31	6	-0.25491	1.0	1.0	1.0	3980	0	0
RVBD2903c:lepB	86	1.8294e-06	0.001365	0.07571	32	36	-0.40422	0.77127	0.98178	1.0	2803	8	0.21394
RVBD1423:whiA	50	4.9281e-06	0.00055336	0.037129	33	20	-0.36572	0.62266	0.92335	1.0	2305	8	0.17696
RVBD0018c:pstP	112	1.0806e-05	0.0018505	0.097569	34	47	-0.24608	0.81365	0.99011	1.0	2928	10	0.23928
RVBD2703:sigA	23	1.0857e-05	9.6392e-05	0.007566	35	14	-0.50755	0.98124	0.98875	1.0	3773	1	0.12625
RVBD3272:RVBD3272	7	1.0964e-05	5.9501e-06	0.00099	36	6	-0.23681	0.99963	0.99994	1.0	3956	0	0
RVBD2142c:parE2	5	1.2623e-05	1.19e-06	0.000354	37	5	-0.26361	0.99999	1.0	1.0	3978	0	0
RVBD3273:RVBD3273	22	1.7597e-05	8.4492e-05	0.006892	38	13	-0.31919	0.97794	0.98598	1.0	3749	1	0.14124
RVBD0884c:serC	34	2.2409e-05	0.00022253	0.015691	39	16	-0.35456	0.35281	0.70937	1.0	1596	2	0.4954
RVBD2691:ceoB	6	2.4398e-05	8.3302e-06	0.001238	40	5	-0.30051	0.99924	0.99983	1.0	3950	0	0
RVBD3868:eccA1	7	2.4868e-05	1.309e-05	0.001702	41	7	-0.25116	0.99998	0.99999	1.0	3976	0	0
RVBD3826:fadD23	20	2.9475e-05	8.2112e-05	0.006832	42	13	-0.25335	0.095296	0.28372	1.0	721	1	0.54529
