id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
RVBD2524c:fas	325	5.2112e-117	2.38e-06	0.000168	1	275	-0.71906	0.4147	0.49777	1.0	1348	8	0.31553
RVBD0384c:clpB	154	1.2147e-78	2.38e-06	0.000168	2	138	-0.9216	1.0	1.0	1.0	3953	2	0.22082
RVBD2587c:secD	153	3.9687e-62	2.38e-06	0.000168	3	137	-0.71815	0.99998	1.0	1.0	3928	1	0.51922
RVBD1459c:RVBD1459c	181	1.8472e-44	2.38e-06	0.000168	4	145	-0.47882	0.55645	0.63782	1.0	1694	6	0.42631
RVBD0511:hemD	104	2.867e-39	2.38e-06	0.000168	5	86	-0.69497	1.0	1.0	1.0	3964	1	0.30225
RVBD3490:otsA	139	8.282e-34	2.38e-06	0.000168	6	105	-0.71218	0.99972	0.99998	1.0	3882	5	0.15796
RVBD2586c:secF	84	1.2555e-31	7.1401e-06	0.000386	7	70	-0.80781	0.9992	0.99994	1.0	3858	2	0.17764
RVBD3846:sodA	56	8.6625e-31	4.7601e-06	0.000291	8	48	-1.0708	0.9944	0.99907	1.0	3731	2	0.47071
RVBD1640c:lysX	29	1.9181e-30	1.19e-06	0.000118	9	27	-1.1121	1.0	1.0	1.0	3974	0	0
RVBD2881c:cdsA	116	8.5207e-27	2.38e-06	0.000168	10	86	-0.4844	1.0	1.0	1.0	3983	0	0
RVBD1611:trpC	46	9.4528e-27	1.19e-06	0.000118	11	37	-0.84227	1.0	1.0	1.0	3944	0	0
RVBD3410c:guaB3	85	1.2027e-25	1.19e-05	0.000538	12	65	-0.71586	0.98166	0.9958	1.0	3565	5	0.23659
RVBD1854c:ndh	94	3.0283e-24	1.19e-06	0.000118	13	76	-0.48953	1.0	1.0	1.0	3955	1	0.17669
RVBD1595:nadB	99	7.2701e-24	2.38e-06	0.000168	14	78	-0.57131	1.0	1.0	1.0	3961	3	0.13577
RVBD1072:RVBD1072	14	4.4695e-23	1.19e-06	0.000118	15	14	-1.6552	1.0	1.0	1.0	3982	0	0
RVBD2182c:RVBD2182c	66	9.5729e-22	5.9501e-06	0.000334	16	51	-0.78887	0.99798	0.99971	1.0	3816	5	0.24393
RVBD1594:nadA	66	2.0253e-21	5.9501e-06	0.000334	17	55	-0.66959	1.0	1.0	1.0	3978	0	0
RVBD3273:RVBD3273	22	4.0838e-21	1.19e-06	0.000118	18	22	-0.60064	1.0	1.0	1.0	3984	0	0
RVBD3277:RVBD3277	55	5.2608e-21	3.5701e-06	0.000228	19	44	-0.6427	0.94745	0.98295	1.0	3253	2	0.41911
RVBD2582:ppiB	67	1.2983e-19	8.3302e-06	0.000413	20	56	-0.38211	0.99879	0.99985	1.0	3841	1	0.29399
RVBD3646c:topA	112	4.6735e-19	2.38e-06	0.000168	21	79	-0.57331	0.9991	0.99991	1.0	3853	7	0.25584
