id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
RVBD2444c:rne	161	2.6491e-69	1.1897e-06	1.5e-05	1	155	-1.4721	1.0	1.0	1.0	3981	1	0.24544
RVBD0006:gyrA	118	5.9952e-60	1.1897e-06	1.5e-05	2	111	-1.5854	1.0	1.0	1.0	3895	2	0.53533
RVBD2524c:fas	328	5.7868e-57	1.1897e-06	1.5e-05	3	285	-0.89361	0.99362	0.99838	1.0	3632	14	0.50366
RVBD2984:ppk1	170	3.4674e-54	1.1897e-06	1.5e-05	4	161	-1.4358	1.0	1.0	1.0	3947	2	0.50318
RVBD0667:rpoB	124	6.335e-46	1.1897e-06	1.5e-05	5	118	-1.5031	1.0	1.0	1.0	3974	2	0.1915
RVBD2987c:leuD	69	9.4302e-45	1.1897e-06	1.5e-05	6	69	-1.785	1.0	1.0	1.0	3984	0	0
RVBD2746c:pgsA3	65	8.6607e-37	1.1897e-06	1.5e-05	7	62	-1.4934	0.95528	0.98213	1.0	3354	3	0.86837
RVBD1384:carB	147	6.5655e-36	1.1897e-06	1.5e-05	8	108	-1.437	0.99026	0.99714	1.0	3585	20	0.5609
RVBD1380:pyrB	84	1.7902e-33	1.1897e-06	1.5e-05	9	77	-1.4843	1.0	1.0	1.0	3939	3	0.27021
RVBD0982:mprB	137	1.0387e-32	1.1897e-06	1.5e-05	10	108	-1.3089	0.99854	0.99976	1.0	3738	19	0.43314
RVBD1695:ppnK	45	1.3591e-32	1.1897e-06	1.5e-05	11	43	-1.6236	1.0	1.0	1.0	3942	0	0
RVBD1484:inhA	35	1.9442e-32	1.1897e-06	1.5e-05	12	33	-2.3764	0.98213	0.99602	1.0	3508	1	1.0048
RVBD0384c:clpB	152	2.857e-32	1.1897e-06	1.5e-05	13	138	-0.86862	0.99976	0.99998	1.0	3826	5	0.42287
RVBD0005:gyrB	42	1.4558e-31	1.1897e-06	1.5e-05	14	42	-1.8706	1.0	1.0	1.0	3986	0	0
RVBD1307:atpH	64	2.664e-31	1.1897e-06	1.5e-05	15	62	-1.6524	1.0	1.0	1.0	3954	1	0.4183
RVBD0338c:RVBD0338c	202	3.6591e-31	1.1897e-06	1.5e-05	16	174	-0.98144	0.99609	0.99911	1.0	3669	20	0.38052
RVBD2400c:subI	99	1.3355e-30	1.1897e-06	1.5e-05	17	90	-1.061	0.97507	0.98929	1.0	3448	5	0.78031
RVBD2883c:pyrH	60	2.1641e-30	1.1897e-06	1.5e-05	18	59	-1.6695	1.0	1.0	1.0	3976	0	0
RVBD1837c:glcB	199	7.2913e-30	1.1897e-06	1.5e-05	19	171	-0.69939	0.99676	0.99933	1.0	3683	14	0.54923
RVBD1536:ileS	222	3.2444e-28	1.1897e-06	1.5e-05	20	183	-0.76077	1.0	1.0	1.0	3944	13	0.35874
RVBD1310:atpD	55	4.8468e-28	1.1897e-06	1.5e-05	21	55	-1.7455	1.0	1.0	1.0	3983	0	0
RVBD2881c:cdsA	111	1.2491e-27	1.1897e-06	1.5e-05	22	100	-0.73978	1.0	1.0	1.0	3919	6	0.17948
RVBD0467:icl1	81	9.0739e-26	1.1897e-06	1.5e-05	23	71	-0.90132	1.0	1.0	1.0	3902	5	0.29549
RVBD3490:otsA	147	3.5362e-25	1.1897e-06	1.5e-05	24	129	-0.82533	1.0	1.0	1.0	3900	9	0.32055
RVBD0896:gltA2	91	1.499e-24	1.1897e-06	1.5e-05	25	88	-0.89305	1.0	1.0	1.0	3980	0	0
RVBD3846:sodA	60	2.0419e-24	1.1897e-06	1.5e-05	26	58	-1.4831	1.0	1.0	1.0	3961	1	0.2982
RVBD0957:purH	65	7.5985e-23	1.1897e-06	1.5e-05	27	61	-1.1911	1.0	1.0	1.0	3968	1	0.13524
RVBD1093:glyA1	83	7.8175e-23	1.1897e-06	1.5e-05	28	78	-1.102	1.0	1.0	1.0	3964	2	0.23897
RVBD1381:pyrC	58	3.8515e-21	1.1897e-06	1.5e-05	29	56	-1.337	1.0	1.0	1.0	3973	0	0
RVBD2457c:clpX	85	8.8932e-21	1.1897e-06	1.5e-05	30	74	-0.94988	0.99967	0.99998	1.0	3811	8	0.41322
RVBD3910:RVBD3910	315	9.7377e-21	1.1897e-06	1.5e-05	31	230	-0.52338	0.99999	1.0	1.0	3888	37	0.47274
RVBD2428:ahpC	12	1.2467e-20	1.1897e-06	1.5e-05	32	12	-2.3956	1.0	1.0	1.0	3979	0	0
RVBD0668:rpoC	97	1.3678e-20	1.1897e-06	1.5e-05	33	80	-1.4445	0.99542	0.99901	1.0	3662	10	0.34821
RVBD1383:carA	54	1.391e-20	1.1897e-06	1.5e-05	34	47	-1.5207	0.8922	0.94772	1.0	3153	6	0.76746
