id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
RVBD1484:inhA	35	9.7979e-34	1.1897e-06	8.4e-05	1	25	-1.5005	0.81645	0.99086	1.0	2748	3	0.14988
RVBD0384c:clpB	152	4.0586e-18	1.1897e-06	8.4e-05	2	95	-0.38199	0.91993	0.99995	1.0	3249	7	0.16409
RVBD2524c:fas	328	1.2978e-16	1.1897e-06	8.4e-05	3	170	-0.40488	0.93064	0.99997	1.0	3320	21	0.1875
RVBD3150:nuoF	22	8.2861e-16	1.1897e-06	8.4e-05	4	20	-0.39492	0.99669	0.99983	1.0	3870	0	0
RVBD1483:fabG1	15	2.7597e-15	1.1897e-06	8.4e-05	5	9	-2.4885	0.003602	0.061413	1.0	126	2	0.83001
RVBD2690c:RVBD2690c	18	1.5536e-11	1.1897e-06	8.4e-05	6	18	-0.65665	1.0	1.0	1.0	3986	0	0
RVBD3646c:topA	111	1.5572e-10	1.1897e-06	8.4e-05	7	64	-0.42452	0.68803	0.99875	1.0	2234	10	0.18177
RVBD1047:RVBD1047	18	1.6702e-10	1.1897e-06	8.4e-05	8	15	-0.25677	1.0	1.0	1.0	3981	0	0
RVBD1925:fadD31	10	5.8033e-09	1.1897e-06	8.4e-05	9	9	-0.53923	0.99996	1.0	1.0	3970	0	0
RVBD2673:aftC	158	7.1563e-09	1.1897e-06	8.4e-05	10	77	-0.48145	0.52184	0.99455	1.0	1748	15	0.20498
RVBD3849:espR	5	1.0295e-08	1.1897e-06	8.4e-05	11	5	-0.54349	1.0	1.0	1.0	3985	0	0
RVBD3152:nuoH	19	1.2919e-08	1.1897e-06	8.4e-05	12	16	-0.35501	0.9999	1.0	1.0	3964	0	0
RVBD3246c:mtrA	54	1.6169e-08	1.1897e-06	8.4e-05	13	32	-0.66617	0.0096026	0.31702	1.0	187	3	0.75976
RVBD3044:fecB	13	2.1379e-08	1.1897e-06	8.4e-05	14	12	-0.4064	0.99903	0.99997	1.0	3925	0	0
RVBD3645:RVBD3645	129	2.5862e-08	1.1897e-06	8.4e-05	15	69	-0.37709	0.18927	0.94356	1.0	903	8	0.23952
RVBD2097c:pafA	10	2.988e-08	1.1897e-06	8.4e-05	16	9	-0.35964	0.99999	1.0	1.0	3974	0	0
RVBD0015c:pknA	56	3.0274e-08	1.1897e-06	8.4e-05	17	36	-0.33478	0.59423	0.98617	1.0	1964	3	0.34727
RVBD3146:nuoB	9	3.7035e-08	1.1897e-06	8.4e-05	18	8	-0.2997	0.99816	0.99988	1.0	3899	0	0
RVBD1481:RVBD1481	118	6.7651e-08	1.1897e-06	8.4e-05	19	59	-0.37553	0.0067841	0.45919	1.0	162	17	0.2236
RVBD1661:pks7	24	7.0984e-08	1.1897e-06	8.4e-05	20	20	-0.25738	0.7036	0.96199	1.0	2302	1	0.30108
RVBD3151:nuoG	15	7.671e-08	1.1897e-06	8.4e-05	21	14	-0.29527	0.99995	1.0	1.0	3968	0	0
RVBD2594c:ruvC	22	7.816e-08	1.1897e-06	8.4e-05	22	17	-0.49376	0.97759	0.99667	1.0	3648	0	0
RVBD1013:pks16	20	8.1672e-08	1.1897e-06	8.4e-05	23	15	-0.38408	1.0	1.0	1.0	3980	0	0
RVBD3245c:mtrB	135	8.1905e-08	1.1897e-06	8.4e-05	24	58	-0.31185	0.18817	0.94312	1.0	899	16	0.19722
RVBD2922c:smc	12	8.6224e-08	1.1897e-06	8.4e-05	25	12	-0.39665	1.0	1.0	1.0	3983	0	0
RVBD2987c:leuD	69	1.3403e-07	1.1897e-06	8.4e-05	26	42	-0.30188	0.94011	0.99983	1.0	3371	2	0.23673
RVBD2344c:dgt	9	1.7796e-07	1.1897e-06	8.4e-05	27	9	-0.35759	1.0	1.0	1.0	3984	0	0
RVBD2110c:prcB	48	1.8827e-07	1.1897e-06	8.4e-05	28	32	-0.44735	0.86386	0.99761	1.0	2949	1	0.17749
RVBD3410c:guaB3	83	1.9984e-07	1.1897e-06	8.4e-05	29	47	-0.37824	0.54632	0.993	1.0	1828	5	0.18057
RVBD3149:nuoE	10	2.0926e-07	1.1897e-06	8.4e-05	30	8	-0.37629	0.78598	0.9081	1.0	2611	0	0
RVBD3148:nuoD	7	2.6688e-07	1.1897e-06	8.4e-05	31	6	-0.36017	0.99785	0.99986	1.0	3893	0	0
RVBD2925c:rnc	56	3.5458e-07	1.1897e-06	8.4e-05	32	33	-0.42899	0.9153	0.99937	1.0	3224	2	0.32808
RVBD3158:nuoN	38	6.8046e-07	1.1897e-06	8.4e-05	33	25	-0.28028	0.99885	0.99997	1.0	3917	0	0
RVBD1159:pimE	13	8.3324e-07	1.1897e-06	8.4e-05	34	11	-0.57504	0.99875	0.99995	1.0	3908	0	0
RVBD3208:RVBD3208	8	1.1925e-06	1.1897e-06	8.4e-05	35	8	-0.47955	1.0	1.0	1.0	3982	0	0
RVBD3794:embA	270	1.1981e-06	1.1897e-06	8.4e-05	36	109	-0.39647	0.82392	0.99973	1.0	2778	27	0.19491
RVBD3778c:RVBD3778c	49	1.243e-06	1.1897e-06	8.4e-05	37	31	-0.48979	0.88733	0.9983	1.0	3064	1	0.3298
RVBD2231c:cobC	6	1.3908e-06	1.1897e-06	8.4e-05	38	5	-0.40572	0.8747	0.9504	1.0	3003	0	0
RVBD0017c:rodA	14	1.5137e-06	1.1897e-06	8.4e-05	39	13	-0.37718	0.99973	0.99999	1.0	3952	0	0
RVBD2444c:rne	161	1.556e-06	1.1897e-06	8.4e-05	40	79	-0.30219	0.37697	0.98568	1.0	1407	9	0.27387
RVBD3156:nuoL	24	2.8165e-06	3.5692e-06	0.000232	41	19	-0.24824	0.99999	1.0	1.0	3975	0	0
RVBD1597:RVBD1597	10	2.865e-06	1.1897e-06	8.4e-05	42	9	-0.25173	0.77777	0.90138	1.0	2571	0	0
RVBD2973c:recG	20	2.8851e-06	5.9487e-06	0.000359	43	14	-0.28732	0.58685	0.91498	1.0	1945	2	0.29762
RVBD2180c:RVBD2180c	7	2.893e-06	1.1897e-06	8.4e-05	44	6	-0.30788	0.99693	0.99978	1.0	3875	0	0
RVBD2198c:mmpS3	5	3.0893e-06	1.1897e-06	8.4e-05	45	4	-0.62525	0.98265	0.99757	1.0	3701	0	0
RVBD2583c:relA	15	3.5105e-06	1.1897e-06	8.4e-05	46	13	-0.31863	0.31099	0.73717	1.0	1239	1	0.43091
RVBD0876c:RVBD0876c	12	3.8723e-06	1.1897e-06	8.4e-05	47	11	-0.74042	1.0	1.0	1.0	3979	0	0
RVBD3805c:aftB	213	3.8904e-06	1.1897e-06	8.4e-05	48	93	-0.36564	0.10428	0.8824	1.0	637	27	0.22485
RVBD2752c:RVBD2752c	15	3.9064e-06	1.1897e-06	8.4e-05	49	12	-0.33966	0.96012	0.99247	1.0	3522	0	0
RVBD2353c:PPE39	10	4.3416e-06	1.1897e-06	8.4e-05	50	9	-0.30665	0.97065	0.99395	1.0	3599	0	0
RVBD0066c:icd2	22	4.4451e-06	3.5692e-06	0.000232	51	16	-0.30548	0.98919	0.99893	1.0	3762	0	0
RVBD2843:RVBD2843	8	4.5544e-06	1.1897e-06	8.4e-05	52	7	-0.40853	0.23236	0.54766	1.0	1010	1	0.49936
RVBD1437:pgk	86	4.7428e-06	1.1897e-06	8.4e-05	53	47	-0.36044	0.2824	0.96351	1.0	1155	6	0.21568
RVBD2476c:gdh	41	5.1666e-06	1.1897e-06	8.4e-05	54	24	-0.31576	0.33126	0.90853	1.0	1290	3	0.39755
RVBD3154:nuoJ	16	6.1382e-06	1.1897e-06	8.4e-05	55	13	-0.2564	0.99964	0.99998	1.0	3947	0	0
