id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
RVBD3794:embA	270	7.6445e-163	1.1897e-06	1.8e-05	1	218	-1.4444	1.0	1.0	1.0	3955	7	0.18677
RVBD2984:ppk1	170	6.856e-95	1.1897e-06	1.8e-05	2	139	-1.4759	0.99889	0.99916	1.0	3824	6	0.14116
RVBD3795:embB	274	3.2343e-92	1.1897e-06	1.8e-05	3	198	-1.3001	0.99977	0.99984	1.0	3871	15	0.23884
RVBD3805c:aftB	213	8.5769e-89	1.1897e-06	1.8e-05	4	173	-0.80235	0.9912	0.99204	1.0	3685	11	0.256
RVBD3245c:mtrB	135	1.3171e-68	1.1897e-06	1.8e-05	5	100	-1.8236	0.99844	0.99886	1.0	3809	7	0.15573
RVBD1697:RVBD1697	70	4.2508e-64	1.1897e-06	1.8e-05	6	64	-1.7421	0.99999	0.99999	1.0	3924	1	0.12079
RVBD1837c:glcB	199	1.6331e-63	1.1897e-06	1.8e-05	7	160	-0.68703	0.81253	0.74031	1.0	2558	7	0.22461
RVBD2673:aftC	158	5.9366e-62	1.1897e-06	1.8e-05	8	124	-1.1062	0.99998	0.99999	1.0	3908	9	0.20382
RVBD1307:atpH	64	6.8312e-62	1.1897e-06	1.8e-05	9	61	-1.5097	1.0	1.0	1.0	3969	0	0
RVBD0676c:mmpL5	31	1.6408e-59	1.1897e-06	1.8e-05	10	31	-3.9383	1.0	1.0	1.0	3985	0	0
RVBD1481:RVBD1481	118	2.2687e-55	1.1897e-06	1.8e-05	11	101	-0.98556	0.99995	0.99998	1.0	3895	2	0.26423
RVBD3246c:mtrA	54	8.4825e-55	1.1897e-06	1.8e-05	12	52	-2.3887	1.0	1.0	1.0	3984	0	0
RVBD1477:ripA	101	3.8823e-54	1.1897e-06	1.8e-05	13	87	-1.0197	0.99805	0.99844	1.0	3794	1	0.31285
RVBD0511:hemD	102	6.8919e-53	1.1897e-06	1.8e-05	14	88	-0.85628	0.93782	0.92221	1.0	3233	1	0.32482
RVBD1310:atpD	55	2.9081e-48	1.1897e-06	1.8e-05	15	54	-1.7699	1.0	1.0	1.0	3981	0	0
RVBD0015c:pknA	56	1.8047e-47	1.1897e-06	1.8e-05	16	51	-1.0419	0.85285	0.85061	1.0	2755	3	0.32029
RVBD3035:RVBD3035	69	2.4255e-47	1.1897e-06	1.8e-05	17	65	-1.0003	1.0	1.0	1.0	3982	0	0
RVBD3793:embC	280	3.7897e-47	1.1897e-06	1.8e-05	18	185	-0.75589	0.99914	0.99938	1.0	3835	18	0.19742
RVBD2444c:rne	161	4.7614e-46	1.1897e-06	1.8e-05	19	134	-0.45026	1.0	1.0	1.0	3966	2	0.34324
RVBD2174:mptA	173	2.3318e-44	1.1897e-06	1.8e-05	20	116	-1.1157	0.99974	0.99983	1.0	3870	9	0.21694
RVBD1304:atpB	42	4.0369e-44	1.1897e-06	1.8e-05	21	40	-1.7874	0.5445	0.51213	1.0	1671	2	0.45364
RVBD1308:atpA	50	3.6629e-38	1.1897e-06	1.8e-05	22	46	-1.8616	0.98129	0.9856	1.0	3568	1	0.48432
RVBD1459c:RVBD1459c	172	4.3396e-36	1.1897e-06	1.8e-05	23	125	-0.41915	0.99999	0.99999	1.0	3918	7	0.23184
RVBD2400c:subI	99	6.7362e-33	1.1897e-06	1.8e-05	24	77	-0.61036	0.99988	0.99993	1.0	3883	4	0.17257
RVBD3846:sodA	60	8.5181e-32	1.1897e-06	1.8e-05	25	55	-0.78969	1.0	1.0	1.0	3950	0	0
RVBD1306:atpF	30	2.5994e-30	1.1897e-06	1.8e-05	26	29	-1.6784	1.0	1.0	1.0	3971	0	0
RVBD3410c:guaB3	83	6.2117e-29	1.1897e-06	1.8e-05	27	64	-0.78788	0.9997	0.99975	1.0	3866	3	0.11982
RVBD1479:moxR1	102	3.5898e-26	1.1897e-06	1.8e-05	28	72	-0.80497	0.8041	0.72682	1.0	2514	8	0.21715
RVBD1539:lspA	63	4.4515e-25	1.1897e-06	1.8e-05	29	52	-0.86654	0.99672	0.99776	1.0	3771	3	0.20784
RVBD3791:dprE2	47	6.9238e-25	1.1897e-06	1.8e-05	30	40	-0.93336	0.99828	0.99839	1.0	3802	1	0.14791
RVBD3778c:RVBD3778c	49	1.4048e-24	1.1897e-06	1.8e-05	31	47	-0.72899	1.0	1.0	1.0	3980	0	0
RVBD0206c:mmpL3	104	3.5897e-24	1.1897e-06	1.8e-05	32	79	-0.63173	0.55774	0.39357	1.0	1709	4	0.40722
RVBD1822:pgsA2	83	4.6407e-24	1.1897e-06	1.8e-05	33	63	-0.41098	0.83572	0.79663	1.0	2680	6	0.21752
RVBD3645:RVBD3645	129	5.0945e-24	1.1897e-06	1.8e-05	34	93	-0.54008	0.9999	0.99994	1.0	3886	5	0.20432
RVBD0677c:mmpS5	7	1.9649e-23	1.1897e-06	1.8e-05	35	7	-4.4852	1.0	1.0	1.0	3983	0	0
RVBD1309:atpG	26	7.8093e-23	1.1897e-06	1.8e-05	36	23	-1.9113	0.75733	0.7654	1.0	2315	2	0.46212
RVBD2847c:cysG	104	2.3448e-22	1.1897e-06	1.8e-05	37	53	-0.82748	0.88978	0.84926	1.0	2939	11	0.15994
RVBD2398c:cysW	96	6.5883e-22	1.1897e-06	1.8e-05	38	66	-0.8056	0.99984	0.99989	1.0	3874	2	0.22803
RVBD2925c:rnc	56	9.4662e-22	1.1897e-06	1.8e-05	39	43	-1.1268	0.99983	0.99979	1.0	3873	1	0.097316
RVBD2476c:gdh	41	2.1594e-21	1.1897e-06	1.8e-05	40	37	-0.5218	1.0	1.0	1.0	3963	0	0
RVBD3044:fecB	13	1.5556e-20	1.1897e-06	1.8e-05	41	13	-1.5648	1.0	1.0	1.0	3986	0	0
RVBD3682:ponA2	15	1.2934e-17	1.1897e-06	1.8e-05	42	13	-0.84846	0.99986	0.99997	1.0	3876	0	0
RVBD1410c:RVBD1410c	19	2.4714e-17	1.1897e-06	1.8e-05	43	18	-1.0256	0.99987	0.99996	1.0	3881	0	0
RVBD2682c:dxs1	53	3.3635e-17	1.1897e-06	1.8e-05	44	38	-0.7642	0.99997	0.99994	1.0	3905	1	0.12969
RVBD0410c:pknG	18	4.3842e-17	1.1897e-06	1.8e-05	45	18	-1.0586	1.0	1.0	1.0	3976	0	0
RVBD3627c:RVBD3627c	82	1.2724e-16	1.1897e-06	1.8e-05	46	60	-0.39596	1.0	1.0	1.0	3946	1	0.15155
RVBD3779:RVBD3779	31	2.4717e-16	1.1897e-06	1.8e-05	47	29	-0.40897	1.0	1.0	1.0	3972	0	0
RVBD0236c:aftD	340	5.918e-16	1.1897e-06	1.8e-05	48	174	-0.35146	0.80587	0.73017	1.0	2528	31	0.20306
RVBD2051c:ppm1	218	1.0957e-15	1.1897e-06	1.8e-05	49	119	-0.37968	0.99998	0.99999	1.0	3909	9	0.19852
RVBD1166:lpqW	95	1.5842e-15	1.1897e-06	1.8e-05	50	60	-0.4798	1.0	1.0	1.0	3973	0	0
RVBD2711:ideR	55	1.9306e-15	1.1897e-06	1.8e-05	51	43	-0.42162	1.0	1.0	1.0	3962	0	0
RVBD0467:icl1	81	2.4637e-15	1.1897e-06	1.8e-05	52	55	-0.33728	0.99999	0.99998	1.0	3916	4	0.19419
RVBD3604c:RVBD3604c	71	2.9481e-15	1.1897e-06	1.8e-05	53	54	-0.48946	1.0	1.0	1.0	3944	0	0
RVBD3790:dprE1	72	6.1526e-15	1.1897e-06	1.8e-05	54	40	-0.90254	0.84002	0.82204	1.0	2698	7	0.15423
RVBD0058:dnaB	93	6.6504e-15	1.1897e-06	1.8e-05	55	57	-0.51822	0.99871	0.99922	1.0	3816	7	0.1871
RVBD2457c:clpX	85	7.1658e-15	1.1897e-06	1.8e-05	56	54	-0.61672	0.399	0.26461	1.0	1304	5	0.18982
RVBD0357c:purA	94	1.2482e-13	1.1897e-06	1.8e-05	57	63	-0.42785	0.62269	0.47787	1.0	1861	6	0.26163
RVBD0472c:RVBD0472c	9	1.745e-13	1.1897e-06	1.8e-05	58	9	-0.7994	1.0	1.0	1.0	3979	0	0
RVBD2870c:dxr	86	1.8231e-13	1.1897e-06	1.8e-05	59	55	-0.61356	0.99396	0.99469	1.0	3730	4	0.19141
RVBD1476:RVBD1476	57	2.1802e-13	1.1897e-06	1.8e-05	60	39	-0.91714	0.91233	0.92012	1.0	3074	3	0.27032
RVBD2245:kasA	37	2.4905e-13	1.1897e-06	1.8e-05	61	28	-0.87365	0.99518	0.9944	1.0	3750	1	0.15486
RVBD3810:pirG	5	2.8605e-13	1.1897e-06	1.8e-05	62	5	-1.9925	1.0	1.0	1.0	3978	0	0
RVBD1411c:lprG	7	3.5298e-13	1.1897e-06	1.8e-05	63	7	-2.6039	1.0	1.0	1.0	3977	0	0
RVBD3823c:mmpL8	32	4.041e-13	1.1897e-06	1.8e-05	64	28	-0.46655	0.98521	0.98464	1.0	3610	1	0.24752
RVBD2247:accD6	55	4.4185e-13	1.1897e-06	1.8e-05	65	38	-0.58721	0.96853	0.97368	1.0	3451	1	0.19029
RVBD3644c:RVBD3644c	90	1.1411e-12	1.1897e-06	1.8e-05	66	59	-0.33353	1.0	1.0	1.0	3970	0	0
RVBD1159:pimE	13	1.7352e-12	1.1897e-06	1.8e-05	67	13	-1.1808	1.0	1.0	1.0	3965	0	0
RVBD0455c:RVBD0455c	8	1.0224e-11	1.1897e-06	1.8e-05	68	8	-2.3777	1.0	1.0	1.0	3975	0	0
RVBD1836c:RVBD1836c	15	1.1997e-11	1.1897e-06	1.8e-05	69	15	-0.71603	1.0	1.0	1.0	3974	0	0
RVBD3006:lppZ	125	1.2183e-11	1.1897e-06	1.8e-05	70	72	-0.32249	0.99971	0.99979	1.0	3868	11	0.17032
RVBD0929:pstC2	10	1.563e-11	1.1897e-06	1.8e-05	71	8	-0.77759	0.97955	0.98473	1.0	3552	0	0
RVBD1640c:lysX	29	2.027e-11	1.1897e-06	1.8e-05	72	26	-0.38277	0.94998	0.95431	1.0	3325	2	0.22381
RVBD2397c:cysA1	87	2.0675e-11	1.1897e-06	1.8e-05	73	51	-0.51169	0.99785	0.99853	1.0	3789	5	0.16465
RVBD2399c:cysT	110	2.4715e-11	1.1897e-06	1.8e-05	74	64	-0.37249	0.97935	0.97798	1.0	3550	2	0.31077
RVBD2843:RVBD2843	8	4.6969e-11	1.1897e-06	1.8e-05	75	8	-1.5274	1.0	1.0	1.0	3959	0	0
RVBD1622c:cydB	19	5.8983e-11	1.1897e-06	1.8e-05	76	18	-0.91463	1.0	1.0	1.0	3964	0	0
RVBD3587c:RVBD3587c	33	7.0049e-11	1.1897e-06	1.8e-05	77	21	-1.1479	0.97542	0.97791	1.0	3516	3	0.13402
RVBD1830:RVBD1830	24	1.1462e-10	1.1897e-06	1.8e-05	78	18	-0.92673	0.7602	0.78	1.0	2322	1	0.26811
RVBD2188c:pimB	125	1.4115e-10	1.1897e-06	1.8e-05	79	67	-0.4044	0.94727	0.9322	1.0	3303	15	0.18825
RVBD2363:amiA2	13	1.9888e-10	1.1897e-06	1.8e-05	80	13	-0.54724	1.0	1.0	1.0	3968	0	0
RVBD0928:pstS3	9	2.0366e-10	1.1897e-06	1.8e-05	81	9	-0.70466	0.99999	1.0	1.0	3923	0	0
RVBD2587c:secD	144	2.2311e-10	1.1897e-06	1.8e-05	82	80	-0.50786	0.97207	0.96692	1.0	3485	18	0.19188
RVBD0002:dnaN	94	2.3947e-10	1.1897e-06	1.8e-05	83	58	-0.46108	1.0	1.0	1.0	3929	2	0.19543
RVBD0820:phoT	7	2.6124e-10	1.1897e-06	1.8e-05	84	7	-0.71159	1.0	1.0	1.0	3934	0	0
RVBD1614:lgt	101	2.851e-10	1.1897e-06	1.8e-05	85	50	-0.59393	0.79467	0.70576	1.0	2469	9	0.19099
RVBD3193c:RVBD3193c	27	3.0857e-10	1.1897e-06	1.8e-05	86	23	-0.6092	1.0	1.0	1.0	3931	0	0
RVBD3822:RVBD3822	9	3.395e-10	1.1897e-06	1.8e-05	87	9	-0.78077	1.0	1.0	1.0	3967	0	0
RVBD0429c:def	66	3.8019e-10	1.1897e-06	1.8e-05	88	40	-0.49607	0.88622	0.87713	1.0	2916	8	0.17848
