id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
RVBD3794:embA	270	5.2069e-122	1.1897e-06	5.4e-05	1	206	-1.0399	0.99873	0.98495	1.0	3873	40	0.20884
RVBD3795:embB	274	1.044e-75	1.1897e-06	5.4e-05	2	173	-1.1248	0.084713	0.065151	0.274665	933	55	0.22774
RVBD2984:ppk1	170	1.1477e-73	1.1897e-06	5.4e-05	3	123	-1.1394	0.99972	0.99509	1.0	3918	22	0.20893
RVBD0676c:mmpL5	31	3.4184e-66	1.1897e-06	5.4e-05	4	31	-3.4427	1.0	1.0	1.0	3986	0	0
RVBD3245c:mtrB	135	6.7616e-60	1.1897e-06	5.4e-05	5	81	-1.3411	0.97097	0.88046	1.0	3595	29	0.26134
RVBD3805c:aftB	213	1.0813e-59	1.1897e-06	5.4e-05	6	156	-0.56509	0.99941	0.99157	1.0	3899	23	0.19248
RVBD2673:aftC	158	1.7466e-52	1.1897e-06	5.4e-05	7	109	-1.1246	0.976	0.88847	1.0	3633	27	0.29569
RVBD3246c:mtrA	54	1.6911e-51	1.1897e-06	5.4e-05	8	49	-1.9532	0.95828	0.88453	1.0	3528	2	0.5208
RVBD2174:mptA	173	9.8637e-50	1.1897e-06	5.4e-05	9	109	-1.0532	0.98767	0.92724	1.0	3732	37	0.19376
RVBD1307:atpH	64	1.3002e-46	1.1897e-06	5.4e-05	10	57	-1.1858	1.0	1.0	1.0	3976	1	0.26379
RVBD1310:atpD	55	7.9555e-44	1.1897e-06	5.4e-05	11	45	-1.6056	0.95035	0.87055	1.0	3484	3	0.16853
RVBD1697:RVBD1697	70	1.52e-40	1.1897e-06	5.4e-05	12	59	-1.0675	0.84008	0.66374	0.941963	3112	2	0.3381
RVBD1304:atpB	42	6.1965e-38	1.1897e-06	5.4e-05	13	39	-1.6125	0.0094811	0.0018453	0.024242	390	2	1.1398
RVBD1837c:glcB	199	3.1345e-36	1.1897e-06	5.4e-05	14	124	-0.57343	0.21511	0.12876	0.415692	1406	31	0.23225
RVBD3793:embC	280	2.0633e-31	1.1897e-06	5.4e-05	15	147	-0.70993	0.0045303	0.0018619	0.024242	311	72	0.23383
RVBD1308:atpA	50	3.9722e-31	1.1897e-06	5.4e-05	16	40	-1.4387	0.9999	0.999	1.0	3931	3	0.18946
RVBD1481:RVBD1481	118	7.3281e-31	1.1897e-06	5.4e-05	17	72	-0.83581	0.88175	0.68552	0.948138	3229	17	0.23745
RVBD1306:atpF	30	1.7239e-30	1.1897e-06	5.4e-05	18	28	-1.6805	1.0	1.0	1.0	3978	0	0
RVBD1477:ripA	101	2.7514e-26	1.1897e-06	5.4e-05	19	65	-0.68462	0.22943	0.13451	0.424987	1445	15	0.27693
RVBD0677c:mmpS5	7	5.3918e-24	1.1897e-06	5.4e-05	20	7	-3.3612	1.0	1.0	1.0	3985	0	0
RVBD3035:RVBD3035	69	1.5507e-23	1.1897e-06	5.4e-05	21	50	-0.89438	1.0	0.99999	1.0	3972	4	0.18133
RVBD0015c:pknA	56	3.8184e-22	1.1897e-06	5.4e-05	22	40	-0.80263	0.97201	0.91119	1.0	3604	3	0.59672
RVBD0511:hemD	102	1.1231e-21	1.1897e-06	5.4e-05	23	68	-0.5575	0.99118	0.94172	1.0	3771	15	0.21968
RVBD0206c:mmpL3	104	3.8419e-18	1.1897e-06	5.4e-05	24	64	-0.58723	0.00071448	2.4984e-05	0.000693	185	19	0.22327
RVBD3410c:guaB3	83	4.3312e-18	1.1897e-06	5.4e-05	25	52	-0.61625	0.99491	0.96689	1.0	3813	11	0.24538
RVBD2925c:rnc	56	1.2247e-17	1.1897e-06	5.4e-05	26	42	-0.9405	0.99988	0.99869	1.0	3929	5	0.14688
RVBD3790:dprE1	72	1.5737e-17	1.1897e-06	5.4e-05	27	38	-0.82708	0.93147	0.81083	1.0	3391	17	0.2509
RVBD1309:atpG	26	2.8202e-17	1.1897e-06	5.4e-05	28	24	-1.3919	0.15432	0.085774	0.329885	1221	2	0.52314
RVBD3044:fecB	13	2.9918e-16	1.1897e-06	5.4e-05	29	13	-0.93878	1.0	1.0	1.0	3984	0	0
RVBD3791:dprE2	47	6.702e-16	1.1897e-06	5.4e-05	30	30	-0.87303	0.80765	0.66951	0.94256	3021	7	0.26062
RVBD3479:RVBD3479	35	9.0446e-16	1.1897e-06	5.4e-05	31	31	-0.34265	1.0	0.99996	1.0	3967	1	0.29587
RVBD3645:RVBD3645	129	1.3857e-15	1.1897e-06	5.4e-05	32	76	-0.61632	0.021922	0.0023045	0.028883	537	15	0.23011
RVBD1410c:RVBD1410c	19	1.1975e-14	1.1897e-06	5.4e-05	33	17	-0.6825	0.76614	0.6697	0.94256	2900	2	0.25823
RVBD3846:sodA	60	2.7751e-14	1.1897e-06	5.4e-05	34	43	-0.42228	0.98681	0.94805	1.0	3724	7	0.27677
RVBD2476c:gdh	41	3.3644e-14	1.1897e-06	5.4e-05	35	34	-0.42166	1.0	0.99999	1.0	3973	1	0.25307
RVBD3810:pirG	5	2.7977e-13	1.1897e-06	5.4e-05	36	5	-1.574	1.0	1.0	1.0	3983	0	0
