id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
RVBD3490:otsA	176	3.685e-67	9.3782e-06	0.001366	1	123	-0.35114	1.0	0.99924	1.0	4036	8	0.23653
RVBD1327c:glgE	167	7.4703e-29	9.3782e-06	0.001366	2	84	-0.29472	1.0	0.99941	1.0	4038	7	0.22083
RVBD1181:pks4	39	2.2578e-22	1.1723e-06	0.000413	3	31	-0.34911	0.99997	0.99038	1.0	4003	2	0.26346
RVBD0018c:pstP	155	8.3875e-22	9.3782e-06	0.001366	4	73	-0.2879	1.0	0.99986	1.0	4047	9	0.24796
RVBD1185c:fadD21	21	5.2409e-20	1.1723e-06	0.000413	5	21	-0.31148	1.0	1.0	1.0	4048	0	0
RVBD3032:RVBD3032	94	2.6798e-18	3.5168e-06	0.001061	6	49	-0.21248	1.0	0.9999	1.0	4045	4	0.1622
RVBD2587c:secD	161	4.6418e-18	9.3782e-06	0.001366	7	67	-0.24041	1.0	0.99986	1.0	4044	14	0.17649
RVBD3825c:pks2	56	1.6497e-17	1.1723e-06	0.000413	8	31	-0.24555	0.95119	0.24176	0.389232	3600	2	0.35897
RVBD1326c:glgB	203	1.9465e-16	9.3782e-06	0.001366	9	77	-0.26635	0.99948	0.59501	0.7386	3962	26	0.30822
RVBD3031:RVBD3031	131	2.5461e-16	9.3782e-06	0.001366	10	58	-0.23722	1.0	0.98984	1.0	4024	9	0.19116
RVBD0384c:clpB	164	7.2781e-16	9.3782e-06	0.001366	11	61	-0.24909	1.0	0.99985	1.0	4042	13	0.18204
RVBD2586c:secF	95	7.3026e-16	9.3782e-06	0.001366	12	47	-0.26332	0.99992	0.85487	0.951532	3997	6	0.35055
RVBD1072:RVBD1072	14	4.0694e-15	1.1723e-06	0.000413	13	12	-0.41482	1.0	0.99998	1.0	4031	0	0
RVBD3846:sodA	66	8.6198e-15	4.6891e-06	0.00132	14	37	-0.25421	0.99998	0.98227	1.0	4010	2	0.37569
RVBD2703:sigA	36	3.2358e-14	3.5168e-06	0.001061	15	24	-0.36477	0.99826	0.92131	1.0	3928	2	0.4955
RVBD3038c:RVBD3038c	88	3.6444e-14	1.1723e-05	0.001547	16	42	-0.22681	1.0	0.99993	1.0	4046	1	0.13003
RVBD0058:dnaB	126	1.2422e-13	9.3782e-06	0.001366	17	48	-0.31596	0.99976	0.7091	0.838809	3984	26	0.25864
RVBD1258c:RVBD1258c	11	2.7343e-13	1.1723e-06	0.000413	18	9	-0.43517	0.99994	0.99818	1.0	4000	0	0
RVBD3597c:lsr2	16	2.7441e-13	1.1723e-06	0.000413	19	14	-0.32636	1.0	1.0	1.0	4039	0	0
RVBD3863:RVBD3863	81	8.0726e-13	8.2059e-06	0.001366	20	38	-0.33506	1.0	0.99193	1.0	4020	7	0.24734
RVBD1208:gpgS	82	1.5499e-12	9.3782e-06	0.001366	21	38	-0.20562	0.99822	0.56646	0.714295	3927	8	0.17701
RVBD1536:ileS	309	4.3844e-12	9.3782e-06	0.001366	22	90	-0.21355	1.0	0.99985	1.0	4041	57	0.29239
RVBD1594:nadA	108	7.8432e-12	9.3782e-06	0.001366	23	43	-0.28292	0.99442	0.25756	0.407069	3879	14	0.2946
RVBD1283c:oppB	6	9.3522e-12	1.1723e-06	0.000413	24	6	-0.2756	1.0	1.0	1.0	4043	0	0
RVBD0647c:RVBD0647c	104	4.7555e-11	1.055e-05	0.001437	25	42	-0.24085	1.0	0.99981	1.0	4040	4	0.20543
RVBD1182:papA3	12	1.3038e-10	1.1723e-06	0.000413	26	10	-0.33371	1.0	0.99989	1.0	4018	0	0
RVBD0440:groEL2	82	1.6815e-10	1.055e-05	0.001437	27	32	-0.33128	0.9996	0.78708	0.899304	3967	13	0.42056
RVBD1423:whiA	67	2.0987e-10	5.8613e-06	0.001366	28	28	-0.24221	0.91884	0.13058	0.247385	3442	8	0.32537
RVBD2130c:mshC	106	5.0406e-10	1.2895e-05	0.00165	29	35	-0.2417	0.99999	0.95754	1.0	4016	10	0.20548
RVBD0247c:RVBD0247c	8	9.1075e-10	1.1723e-06	0.000413	30	7	-0.24359	0.89912	0.64446	0.782735	3382	1	0.23434
RVBD3710:leuA	154	9.912e-10	1.4067e-05	0.001697	31	53	-0.21121	1.0	0.98745	1.0	4022	23	0.1779
RVBD1280c:oppA	10	1.537e-09	1.1723e-06	0.000413	32	8	-0.32322	0.92844	0.6982	0.82939	3480	1	0.25419
RVBD2582:ppiB	67	4.2483e-09	1.9929e-05	0.002338	33	29	-0.23242	1.0	0.99761	1.0	4026	6	0.18696
RVBD1595:nadB	119	8.077e-09	8.5576e-05	0.008814	34	42	-0.25141	1.0	0.99936	1.0	4037	5	0.31219
RVBD3034c:RVBD3034c	73	9.8349e-09	6.3303e-05	0.006807	35	29	-0.22287	0.79356	0.053283	0.126984	3048	11	0.19494
RVBD2524c:fas	600	2.8523e-08	0.00024735	0.022225	36	136	-0.26119	1.0	0.99516	1.0	4034	115	0.33093
RVBD1827:garA	28	5.2522e-08	1.4067e-05	0.001697	37	9	-0.44776	0.81244	0.22302	0.369163	3101	8	0.44353
RVBD0805:RVBD0805	6	7.7333e-08	1.1723e-06	0.000413	38	6	-0.24252	1.0	0.99997	1.0	4017	0	0
RVBD3198c:uvrD2	190	1.4583e-07	0.00061075	0.051584	39	53	-0.19102	0.99094	0.21789	0.363123	3852	44	0.23903
RVBD3030:RVBD3030	61	1.7361e-07	0.00018405	0.016896	40	24	-0.21446	0.99999	0.9884	1.0	4013	3	0.18388
RVBD2996c:serA1	96	3.264e-07	0.00088741	0.070708	41	33	-0.31389	0.99996	0.89319	0.981066	4001	5	0.43355
RVBD0951:sucC	102	8.5219e-07	0.0019096	0.132203	42	34	-0.19742	1.0	0.99068	1.0	4027	10	0.24076
RVBD0929:pstC2	10	1.0431e-06	4.8063e-05	0.005486	43	6	-0.28726	0.99998	0.99957	1.0	4005	0	0
RVBD2051c:ppm1	254	1.0938e-06	0.0022613	0.15144	44	66	-0.19083	0.51012	7.3853e-05	0.000562	2291	83	0.28284
RVBD1281c:oppD	10	1.3385e-06	5.2752e-05	0.005862	45	7	-0.30094	0.99962	0.99143	1.0	3971	0	0
RVBD1282c:oppC	14	1.4364e-06	0.00011371	0.010671	46	8	-0.27454	1.0	0.99986	1.0	4019	0	0
RVBD3416:whiB3	43	2.184e-06	0.00056386	0.048596	47	19	-0.20095	0.99965	0.95916	1.0	3972	5	0.16958
RVBD2398c:cysW	96	2.4888e-06	0.003457	0.208557	48	31	-0.19036	0.99143	0.23459	0.381034	3858	15	0.17663
RVBD3489:RVBD3489	8	3.2298e-06	6.4475e-05	0.006807	49	6	-0.39387	0.99399	0.94505	1.0	3874	0	0
RVBD1577c:RVBD1577c	74	3.5478e-06	0.0023668	0.15144	50	25	-0.16959	0.99782	0.62686	0.768653	3915	13	0.15254
RVBD3824c:papA1	17	4.3625e-06	0.00029424	0.025887	51	10	-0.26151	0.9997	0.97748	1.0	3979	1	0.14504
RVBD2692:ceoC	6	8.3598e-06	0.00010902	0.010464	52	5	-0.21207	0.99798	0.98857	1.0	3920	0	0
RVBD0559c:RVBD0559c	5	1.0183e-05	9.7298e-05	0.009783	53	4	-0.22327	0.99927	0.99692	1.0	3955	0	0
RVBD3273:RVBD3273	22	1.2555e-05	0.00091085	0.071232	54	12	-0.19952	0.99999	0.99509	1.0	4011	0	0
RVBD2219:RVBD2219	79	1.4977e-05	0.0079515	0.425315	55	26	-0.26822	0.99861	0.65816	0.796393	3935	5	0.20314
RVBD1286:cysN	164	1.9925e-05	0.015166	0.601531	56	45	-0.18716	1.0	0.9879	1.0	4023	20	0.1869
RVBD3197A:whiB7	4	2.1853e-05	9.9643e-05	0.009786	57	4	-0.36704	0.99969	0.99883	1.0	3977	0	0
tRNA-Gly4:tRNA-Gly4	19	2.6918e-05	0.0011477	0.086545	58	10	-0.37154	0.96156	0.73784	0.861938	3652	1	0.43125
Empty	1	2.7377e-05	1.1723e-06	0.000413	59	1	-0.04592	0.99997	1.0	1.0	4004	0	0
RVBD2421c:nadD	54	3.046e-05	0.0064416	0.367608	60	20	-0.34061	0.99999	0.99074	1.0	4012	6	0.29386
RVBD2711:ideR	56	3.4807e-05	0.0069832	0.393146	61	20	-0.19516	0.99986	0.95807	1.0	3992	4	0.19399
ssr:ssr	26	3.6399e-05	0.0023527	0.15144	62	12	-0.1889	0.9961	0.90749	0.990776	3894	3	0.17149
